len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;6.0;60.64646291666666;59.714278666666665;344.75;86.32494236760697;2.121423551918151;105.0;;71.2;0.0;;-0.0357666015625;0.998779296875;0.04345703125;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;0.0;;9.6;8.8;8.3;6.5;0.20277070084423568;-0.5110817208263163;-1.5006651589738085;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;1
3.0;6.0;60.64643616666667;59.7142825;345.3;86.18729187846807;-1.0403753173765196;102.0;;71.6;2.9851849235582737;;0.0198974609375;1.041748046875;-0.0400390625;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;8.4;8.2;8.7;7.5;1.8497858082276535;-0.6938699545159237;-1.1862288704794222;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;1
6.0;7.0;60.64641275;59.71430183333333;345.70000000000005;85.41012862470606;-0.6958755787724731;101.0;;71.6;2.8121743841273643;;0.0096435546875;1.0379638671875;0.0472412109375;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;9.6;7.4;7.4;6.5;3.08563218382024;-0.014406793948435581;-1.068952330337038;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;0;-0.60247583767112;0.27198893453564227;1
8.0;6.0;60.6463925;59.7143245;345.4;82.54398773699022;-2.5881304065601807;100.0;;71.6;2.571307551717549;;0.0443115234375;1.0089111328125;0.121337890625;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;7.9;7.4;8.8;6.5;3.981262397467321;1.1189409769691065;-0.6606451557275936;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;1;0;flat;0.0;7.0;1.6;flat;0;0.01;0.2747088238809987;1
10.0;6.0;60.6463845;59.7143455;344.9;86.25265075641077;-1.4037708576386034;101.0;;71.6;1.4513241825559593;;0.0257568359375;1.0479736328125;0.0635986328125;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;7.4;7.4;8.8;6.0;4.599535997989313;2.3895810427626807;-0.4354721275285973;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.3895810427626807;flat;1;0.01;0.27198893453564227;1
11.0;5.0;60.64638016666667;59.7143645;344.1;83.69007181525805;-1.7078545346311724;101.0;;71.6;1.1435477423415181;;0.0289306640625;1.01513671875;0.093994140625;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;8.7;7.4;7.4;6.0;4.995785499664865;3.5637734663682914;-0.6338293381812798;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;3.5637734663682914;up;1;0.01;0.27198893453564227;1
12.0;5.0;60.646372;59.71438716666667;343.6;79.81012959373159;-5.347458878205552;102.0;;71.6;1.535074600771424;;0.0972900390625;1.023193359375;0.157958984375;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;8.7;7.0;9.0;6.0;5.218382368714008;4.481708599108984;-0.7999459639137929;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.481708599108984;up;1;0.01;0.2693223763539203;1
14.0;6.0;60.646363;59.714405;343.2;84.68774085892372;-2.873405014019772;104.0;;71.6;1.3967189326743035;;0.05126953125;1.0223388671875;0.076171875;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;7.6;7.3;9.0;5.4;5.309303009781305;5.048584990671834;-0.8502877524438723;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.048584990671834;up;1;0.01;0.2641430998855757;1
16.0;6.0;60.64635183333333;59.714425;343.4;84.34752150829647;-5.634796300822733;103.0;;71.6;1.6542084946903044;;0.1011962890625;1.0264892578125;0.006591796875;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;8.0;7.3;9.0;5.0;5.304694752418995;5.225687299084983;-0.841805165096178;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.225687299084983;up;1;0.01;0.26670759600096966;1
17.0;6.0;60.64633966666667;59.714447166666666;343.6;83.20446372308773;-4.181043797403233;102.0;;71.6;1.8159357808355288;;0.0718994140625;0.9837646484375;0.0855712890625;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;8.0;6.6;9.0;4.5;5.235441837570142;5.021464200694627;-0.8596279704203353;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.021464200694627;up;1;0.01;0.2693223763539203;1
19.0;7.0;60.64632866666667;59.7144665;343.3;80.06468933802991;-5.204595342850082;102.0;;71.6;1.6163349088237111;;0.094970703125;1.031005859375;0.152099609375;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;8.0;6.6;8.7;6.2;5.127731404051778;4.482606300142045;-0.7295280452912807;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;0;0;up;7.0;0.0;4.482606300142045;up;1;0.01;0.2693223763539203;1
21.0;8.0;60.64631683333333;59.7144935;343.5;79.76199280412767;-6.61940999326899;102.0;;71.6;1.9763950809351774;;0.1181640625;1.0579833984375;0.1221923828125;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;7.5;5.6;6.9;7.0;5.003619475038052;3.6851240403405625;-0.8310602165650378;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.6851240403405625;up;1;0.01;0.2693223763539203;1
23.0;8.0;60.64630116666667;59.71452266666667;343.7;83.08647237607337;-2.834169218718158;102.0;;71.6;2.3611221364819386;;0.0491943359375;0.9954833984375;0.109130859375;Груженный движется вперед;32;75131;130;;;;;748.0;24.0;748.0;20.0;752.0;36.0;756.0;32.0;724.0;29.0;756.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];717;;;9.7;5.7;7.6;7.0;4.88159694454339;2.7254256124525917;-0.8502413152434096;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.7254256124525917;up;1;0.01;0.2693223763539203;1
