len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;6.0;60.64612666666667;59.71554283333333;345.6;81.03082455547832;-1.5596314778564908;105.0;;87.2;0.0;;0.0291748046875;1.0638427734375;0.1658935546875;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;0.0;;6.4;7.0;8.6;5.5;9.932078174299498;1.738681768078726;-1.9332556840397248;6.0;6.0;7.0;7.0;-;6.0;7.0;0;0;0;0;-;0.0;0;0;up;0.0;0.0;1.738681768078726;up;0;0.01;0.0;0
2.0;7.0;60.646109;59.71552916666667;345.8;79.09084090729988;-2.459849824090761;106.0;;87.2;2.1033363140771613;;0.045654296875;1.0389404296875;0.1942138671875;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.2;7.7;9.7;5.5;8.046048126863552;2.183142480197165;-1.9780571316634155;6.0;6.0;10.15;7.0;point_60%;6.0;7.0;1;0;0;0;-;0.0;0;0;up;0.0;0.0;2.183142480197165;up;0;0.01;0.0;0
4.0;7.0;60.646092333333335;59.7155145;345.9;84.21640366455483;-3.95912880625791;109.0;;87.2;2.0206245735930595;;0.0701904296875;1.016845703125;0.071533203125;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.2;7.7;10.8;4.1;6.883544684282567;2.4763674649580967;-2.0304431199746995;6.0;6.0;10.15;7.0;point_60%;6.0;7.0;1;0;0;0;-;0.0;0;0;up;0.0;0.0;2.4763674649580967;up;0;0.01;0.0;0
6.0;8.0;60.646075333333336;59.71549733333333;346.0;78.58172682110123;-0.4891576723704409;111.0;;87.2;2.1116310410167984;;0.0076904296875;0.990478515625;0.1986083984375;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;6.8;7.0;10.8;4.5;6.2915504538490685;2.630684571114551;-1.9056945035008273;6.0;6.0;10.15;7.0;point_60%;6.0;7.0;1;0;0;0;-;0.0;0;0;up;0.0;0.0;2.630684571114551;up;0;0.01;0.0;0
9.0;8.0;60.6460535;59.715481833333335;346.4;83.1370814259579;-3.64911893214423;110.0;;87.2;2.57348997677843;;0.066162109375;1.0325927734375;0.0157470703125;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.8;6.9;8.7;4.5;6.130703143803542;2.662407500565865;-1.8309661079508452;6.0;6.0;7.0;7.0;point_60%;6.0;7.0;1;0;0;0;-;0.0;0;0;up;0.0;0.0;2.662407500565865;up;0;0.01;0.0;0
12.0;9.0;60.64602833333333;59.71546816666667;346.5;80.75975500598338;-1.5149437304208206;107.0;;87.2;2.8991551279534007;;0.026611328125;1.014404296875;0.1612548828125;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.8;5.3;8.4;8.1;6.275423622186236;2.591048185540294;-1.8507351537060828;6.0;6.0;7.0;7.0;point_60%;6.0;7.0;1;0;0;0;-;0.0;0;0;up;8.5;0.0;2.591048185540294;up;0;0.01;0.0;0
14.0;9.0;60.646006166666666;59.715455166666665;346.2;77.59825852095697;0.3970325785529663;109.0;;87.2;2.567573376511306;;-0.010009765625;1.03125;0.216796875;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;9.1;5.2;8.5;8.1;6.614043975688951;2.4385291657776187;-1.7716734455473566;8.7;6.0;7.0;7.0;point_60%;6.0;7.0;1;0;0;0;-;0.0;0;0;up;0.0;0.0;2.4385291657776187;up;0;2.3803886617424497;0.825407421506401;0
17.0;8.0;60.6459845;59.715446166666666;346.3;80.62531290844242;-4.315217151795569;110.0;;87.2;2.4614582475069002;;0.0782470703125;1.06396484375;-0.0328369140625;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;9.1;5.5;8.5;5.6;7.048935568506845;2.228395965711754;-1.7390258228155546;8.7;6.0;7.0;7.0;point_60%;6.0;7.0;1;0;0;0;-;0.0;0;0;up;8.25;0.0;2.228395965711754;up;0;0.01;0.8179037176745247;0
19.0;8.0;60.64596333333333;59.71543883333333;346.6;80.32480358239441;-4.07080895182901;106.0;;87.2;2.3900432454035108;;0.072021484375;1.0181884765625;0.155517578125;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.7;5.7;10.0;5.3;7.496637101190224;1.985029471653362;-1.5128799415125642;6.0;6.0;10.15;7.0;point_60%;6.0;7.0;1;0;0;0;-;0.0;0;0;up;0.0;0.0;1.985029471653362;up;0;0.01;0.8487680089075257;0
21.0;7.0;60.64594783333333;59.715440666666666;346.2;78.46160488546491;-3.099962012417233;112.0;;87.2;1.7283792700697278;;0.0572509765625;1.0445556640625;0.2021484375;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;752.0;21.0;760.0;39.0;752.0;34.0;720.0;34.0;760.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.7;5.8;10.0;5.3;7.887982669496338;1.7328583089724565;-1.5977735532935724;6.0;6.0;10.15;7.0;point_60%;6.0;7.0;1;0;0;0;-;0.0;0;0;up;0.0;0.0;1.7328583089724565;up;0;0.01;0.8032982941446224;0
