len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;5.0;60.64599333333334;59.714907333333336;346.6;86.12116688485781;-2.845403599452392;101.0;;76.4;0.0;;0.0526123046875;1.062255859375;0.0487060546875;Груженный стоит;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;0.0;;8.8;7.0;8.0;7.2;2.4303871230480554;7.371513517290326;-0.9367654409094959;8.0;8.0;8.1;8.1;-;8.0;8.1;0;0.0;0;0;-;0.0;0;0;up;0.0;5;2.4303871230480554;up;0;0.01;0.0;1
2.0;7.0;60.64598166666666;59.714924833333335;347.0;74.09583723307509;-5.445414534593021;101.0;;76.4;1.6120591132182718;;0.09814453125;0.99462890625;0.265869140625;Груженный движется вперед;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;;;8.1;6.6;7.9;7.2;3.721029044141985;5.483848203056412;-1.0076622414397685;8.0;8.0;8.1;8.1;-;8.0;8.1;0;0.0;0;0;-;0.0;1;0;up;0.0;0;3.721029044141985;up;0;0.01;0.0;1
3.0;9.0;60.64597066666666;59.714939;346.5;85.00879925051838;-1.3549944275718078;101.0;;76.4;1.4481493346847434;;0.0274658203125;1.0244140625;0.080322265625;Груженный движется вперед;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;;;7.1;6.6;7.9;5.4;4.330417232330403;4.866549536341054;-0.9234162783971303;8.0;8.0;8.1;8.1;-;8.0;8.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0;4.330417232330403;up;0;0.01;0.0;1
4.0;9.0;60.64596083333333;59.714954166666665;345.3;83.97561182535568;-2.458791462523944;101.0;;76.4;1.3723278203071931;;0.05126953125;1.02490234375;0.020263671875;Груженный движется вперед;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;;;6.8;7.9;9.9;5.0;4.425976623506631;5.087765895813813;-0.8691066457082108;8.0;8.0;8.1;8.1;-;8.0;8.1;0;0.0;0;0;-;0.0;0;0;up;0.0;9;4.425976623506631;up;0;0.01;0.0;1
6.0;9.0;60.64595116666667;59.71497083333333;344.5;82.78155388979158;-3.59274119137366;101.0;;76.4;1.408972687428081;;0.0706787109375;1.0943603515625;0.125;Груженный движется вперед;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;;;7.9;7.9;10.9;4.6;4.1561917895046765;5.797628732924274;-0.9451895566296238;8.0;8.0;11.745;8.1;point_60%;8.0;8.1;1;0.0;0;0;-;0.0;0;0;up;10.0;0;4.1561917895046765;up;0;0.01;0.0;1
7.0;10.0;60.645941666666666;59.71498483333333;344.0;79.10198590753629;-9.809838379003995;101.0;;76.4;1.3046417671594401;;0.167724609375;1.0172119140625;0.0721435546875;Груженный движется вперед;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;;;7.9;7.7;10.9;7.0;3.651116573515118;6.7212300742586795;-0.7603212968461555;8.0;8.0;11.745;8.1;point_60%;8.0;8.1;1;0.0;0;0;-;0.0;0;0;up;0.0;0;3.651116573515118;up;0;0.01;0.0;1
9.0;10.0;60.645930166666666;59.7150095;343.7;80.14236108928785;-1.347873076403816;101.0;;76.4;1.8576327151285037;;0.0284423828125;1.0506591796875;0.1668701171875;Груженный движется вперед;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;;;8.6;7.7;10.3;7.0;3.0228837255009804;7.651600023896574;-0.9217813181121435;8.0;8.0;8.1;8.1;point_60%;8.0;8.1;1;0.0;0;0;-;0.0;0;0;up;0.0;0;3.0228837255009804;up;0;0.01;0.0;1
11.0;10.0;60.645916166666666;59.71503116666667;343.2;82.93299085374775;-0.3119596077470381;101.0;;76.4;1.9562434267434086;;0.00537109375;1.064208984375;0.1072998046875;Груженный движется вперед;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;;;8.6;9.0;10.3;2.6;2.3662145376136157;8.442684265767454;-0.55181786184081;8.0;8.0;8.1;8.1;point_60%;8.0;8.1;1;0.0;0;0;-;0.0;0;0;up;0.0;0;2.3662145376136157;up;0;0.01;0.0;1
13.0;11.0;60.645907666666666;59.715059333333336;341.9;75.13402850682917;-1.200756798851617;101.0;;76.4;1.8049716515961525;;0.009765625;1.0057373046875;0.2506103515625;Груженный движется вперед;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;;;10.6;5.3;9.4;4.6;1.7589284796085836;9.002321566007387;-0.7608030015724006;11.6;8.0;8.1;8.1;point_60%;8.0;8.1;1;0.0;0;0;-;0.0;0;0;up;0.0;0;1.7589284796085836;up;0;0.01;0.0;1
15.0;11.0;60.64589483333334;59.71508683333333;340.8;81.07424827260758;-4.718184644291443;101.0;;76.8;2.0719611865051997;;0.0980224609375;1.1373291015625;0.066650390625;Груженный движется вперед;32;75131;130;;;;;736.0;16.0;732.0;13.0;740.0;28.0;728.0;23.0;688.0;19.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];653;;;8.1;6.6;8.5;5.1;1.262452834261536;9.285221275315688;-0.7048833270071126;11.6;8.0;8.1;8.1;point_60%;8.0;8.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0;1.6;up;1;0.01;0.0;1
