len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;6.0;60.646559833333335;59.71415833333333;342.3;85.52762928415528;-3.492966148996556;102.0;;;0.0;;0.062255859375;1.0302734375;0.048828125;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;0.0;;8.5;8.2;8.6;5.5;2.6599347308267736;2.869644541309944;-1.443609441094821;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;0;0;up;0.0;6.5;2.869644541309944;up;0;0.01;0.0;1
1.0;6.0;60.646548333333335;59.71416133333334;342.0;85.30137583845828;-1.8115180855284;100.0;;;1.290620617575941;;0.032470703125;1.0224609375;0.0692138671875;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;;;7.1;9.3;7.7;6.4;4.218506502175499;2.7068728786339755;-1.3994818444945905;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;0;0;up;0.0;0.0;2.7068728786339755;up;0;0.01;0.0;1
3.0;7.0;60.646537;59.71416533333333;341.6;82.85451702283214;-3.142921988459021;100.0;;;1.2803851333622458;;0.051513671875;0.9959716796875;0.10400390625;Груженный движется вперед;32;75131;130;;;;;760.0;28.0;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;;;9.5;9.3;8.8;6.4;4.857724259810342;2.6688377356476574;-1.149315237163964;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;0;0;up;0.0;6.75;2.6688377356476574;up;0;2.78825870997196;1.1590968066302132;1
4.0;0.1;60.64652333333333;59.71417783333333;341.2;87.1042316295172;-1.0077257832016404;101.0;;;1.667308200560716;;0.0181884765625;1.0389404296875;0.041748046875;Груженный движется вперед;32;75131;130;;;;;760.2608695652174;28.065217391304348;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;;;9.5;8.9;8.8;8.6;4.872508327601156;2.743860666424392;-1.2567191530186967;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;0;0;up;0.0;0.0;2.743860666424392;up;0;0.01;1.1476206006239735;1
6.0;7.0;60.6465095;59.714187;340.8;79.52824426061872;-3.1628353551894373;102.0;;;1.6191515088095843;;0.063232421875;1.10546875;0.177490234375;Груженный движется вперед;32;75131;130;;;;;760.6086956521739;28.152173913043477;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;;;8.9;8.9;8.2;8.6;4.5030936505036685;2.9154455658424325;-1.0683745600381513;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;1;0;up;0.0;6.75;2.9154455658424325;up;0;0.01;1.1363694182649149;1
8.0;7.0;60.64649433333334;59.714204;340.4;84.19759769767387;-5.756748479892174;102.0;;;1.9264463778154126;;0.1041259765625;1.018310546875;0.0130615234375;Груженный движется вперед;32;75131;130;;;;;760.9565217391305;28.23913043478261;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;;;8.9;8.0;8.2;7.7;3.9398057564225737;3.163297289908313;-1.0580283108457116;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;1;0;up;0.0;0.0;3.163297289908313;up;0;0.01;1.1363694182649149;1
10.0;7.0;60.6464775;59.71422333333334;340.2;84.65205751963882;-2.517218185470536;102.0;;;2.1504836186509397;;0.04541015625;1.029052734375;0.05712890625;Груженный движется вперед;32;75131;130;;;;;761.304347826087;28.326086956521742;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;;;9.4;8.0;5.8;7.7;3.3278367180746122;3.464340276080278;-1.0210571016308143;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;1;0;up;0.0;0.0;3.464340276080278;up;0;0.01;1.1363694182649149;1
12.0;7.0;60.646460833333336;59.71424416666667;339.9;84.5223859225095;-5.1879864942352665;101.0;;;2.1759603466525688;;0.0943603515625;1.0341796875;0.023193359375;Груженный движется вперед;32;75131;130;;;;;761.6521739130435;28.413043478260867;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;;;9.4;7.2;5.7;8.2;2.772021114851653;3.793737163591713;-1.0276483546214172;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;1;0;up;0.0;0.0;3.793737163591713;up;0;0.01;1.1476206006239735;1
14.0;8.0;60.646445;59.71426366666667;339.6;84.616174963042;-2.94994150174873;101.0;;;2.0588917445436454;;0.05517578125;1.0614013671875;0.0838623046875;Груженный движется вперед;32;75131;130;;;;;762.0;28.5;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;;;8.0;7.7;8.0;8.2;2.3416119946837886;4.125907413774575;-0.9790232160341548;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.125907413774575;up;0;3.216136192369426;6.944507599139942;1
16.0;7.0;60.64642883333333;59.714285833333335;340.0;82.92717225898969;-3.907928837260042;99.0;;;2.1684307698235417;;0.0712890625;1.013671875;0.0369873046875;Груженный движется вперед;32;75131;130;;;;;762.3478260869565;28.586956521739133;760.0;25.0;760.0;39.0;760.0;36.0;716.0;34.0;768.0;37.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];663;;;8.0;7.7;8.0;8.0;2.0750568359023966;4.435545930382824;-0.9154220224575997;7.4;7.4;7.2;7.2;-;7.4;7.2;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.435545930382824;up;0;0.01;7.084800681950849;1
