len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;0.0;60.64609683333333;59.71477683333333;335.2;82.66557866558651;-5.6217422743980165;109.0;;61.6;0.0;;0.103271484375;1.041748046875;0.0706787109375;Груженный стоит;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;0.0;;7.5;6.0;6.4;7.3;5.570625650181032;3.571569818490346;-0.11942722611814305;6.8;6.8;7.0;7.0;-;6.8;7.0;0;0;0;0;-;0.0;0;0;up;0;0;5.570625650181032;up;0;0.01;0.0;1
1.0;0.0;60.646096;59.714791;335.2;84.55167068273494;-4.307699455966576;109.0;;61.6;0.7786216098934052;;0.07763671875;1.027587890625;0.053466796875;Груженный стоит;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.5;6.1;6.4;7.5;3.694730002474971;3.6608668040730836;-0.20388105343177854;6.8;6.8;7.0;7.0;-;6.8;7.0;0;0;0;0;-;0.0;0;0;up;0;0;3.694730002474971;up;0;0.01;0.0;1
2.0;0.0;60.6460935;59.71481566666667;335.05;86.43218290702332;-0.8609918167049216;109.0;;61.6;1.0379586741466054;;0.01513671875;1.0069580078125;0.054443359375;Груженный стоит;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.5;7.6;7.4;7.5;2.731852907249086;3.642637729993987;-0.29145292859219674;6.8;6.8;7.0;7.0;-;6.8;7.0;0;0;0;0;-;0.0;0;0;up;0;0;2.731852907249086;up;0;0.01;0.0;1
3.0;0.0;60.646091;59.714832666666666;334.8;83.10290397703776;-3.430391968563705;109.0;;61.2;0.6384857852170295;;0.0635986328125;1.054443359375;0.10791015625;Груженный стоит;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.4;8.2;9.1;5.8;2.3663045635453686;3.601219757531386;-0.3817848023597097;6.8;6.8;7.0;7.0;-;6.8;7.0;0;0;0;0;-;0.0;0;0;up;0;0;2.3663045635453686;up;0;0.01;0.0;1
4.0;2.0;60.64608791666667;59.714848333333336;334.95;83.92023644225375;-2.510429846717903;109.0;;61.2;0.7451434597788391;;0.0458984375;0.99359130859375;0.05645751953125;Груженный стоит;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.2;8.7;9.1;5.0;2.34882181116717;3.593915029688077;-0.448074851125301;6.8;6.8;7.0;7.0;-;6.8;7.0;0;0;0;0;-;0.0;0;0;up;0;0;2.34882181116717;up;0;0.01;0.0;1
5.0;3.0;60.6460845;59.714862833333335;334.7;86.21312498158315;-3.091436566540924;109.0;;61.2;0.5067390223048337;;0.057861328125;1.067138671875;0.0404052734375;Груженный движется вперед;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.2;9.1;8.8;4.8;2.490067682846675;3.6543841765087457;-0.5655140443733258;6.8;9.86;7.0;7.0;point_30%;6.8;7.0;1;0;0;0;-;0.0;0;0;up;0;0;2.490067682846675;up;0;0.01;0.0;1
6.0;3.0;60.64607983333333;59.71487783333333;335.1;85.20470432819344;-1.7818824061064291;109.0;;60.8;0.9694872733789665;;0.033203125;1.0465087890625;0.0787353515625;Груженный движется вперед;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;6.7;9.1;9.5;4.5;2.6541309564123794;3.796039820397388;-0.46257465984391866;6.8;9.86;10.15;7.0;point_30%;6.8;7.0;1;0;0;0;-;0.0;0;0;up;0;0;2.6541309564123794;up;0;0.01;0.0;1
7.0;4.0;60.64607616666667;59.71489283333333;335.2;84.14410030092063;-2.103189456974841;109.0;;60.8;0.9146777247858016;;0.03759765625;1.009033203125;0.090576171875;Груженный движется вперед;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;6.7;9.1;9.5;4.7;2.752025706956563;4.015440081434728;-0.5712478683840145;6.8;9.86;10.15;7.0;point_30%;6.8;7.0;1;0;0;0;-;0.0;0;0;up;0;0;2.752025706956563;up;0;0.01;0.0;1
8.0;5.0;60.646072333333336;59.714905;335.3;82.2081269290204;-5.499432272811587;109.0;;60.8;0.7892471231742326;;0.1043701171875;1.0771484375;0.0413818359375;Груженный движется вперед;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.0;8.2;8.2;5.7;2.7351908590027705;4.2956820826956434;-0.5675310306789836;6.8;6.8;7.0;7.0;point_30%;6.8;7.0;1;0;0;0;-;0.0;0;0;up;0;5;2.7351908590027705;up;0;0.01;0.0;1
9.0;5.0;60.646067333333335;59.714921;335.2;85.06058029355194;-2.031823202242566;109.0;;60.8;1.0354477366888464;;0.0362548828125;1.0181884765625;0.048095703125;Груженный движется вперед;32;75131;130;;;;;740.0;18.0;736.0;12.0;740.0;25.0;732.0;21.0;692.0;21.0;732.0;23.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];701;;;7.9;7.8;7.8;5.7;2.588989738673292;4.609795455566581;-0.6973948646572334;6.8;6.8;7.0;7.0;point_30%;6.8;7.0;1;0;0;0;-;0.0;0;0;up;0;0;2.588989738673292;up;0;0.01;0.0;1
