len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;6.0;60.646587;59.7141315;326.8;81.79563881190869;1.224851048934231;106.0;;;0.0;;-0.0196533203125;0.9097900390625;0.07177734375;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;0.0;;10.2;9.7;6.4;8.2;3.03735180915352;-0.6690221315143712;-1.0520234718749508;10.44;10.44;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;0;0;flat;0.0;6;1.6;flat;0;0.01;0.0;1
2.0;6.0;60.64657283333333;59.714148;326.9;83.53247866057265;1.254602265578692;102.0;;;1.8159849976847606;;-0.02685546875;1.0299072265625;0.0252685546875;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;;;10.2;9.7;6.3;7.3;3.973797508879268;0.051471358349626906;-0.9894664325251994;10.44;10.44;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;0;0.01;0.0;1
4.0;6.0;60.64655716666667;59.714169;327.4;83.41720277839948;-4.273368469988805;99.0;;;2.0868321602344797;;0.058349609375;0.99169921875;0.048828125;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;;;7.4;7.7;6.3;7.8;4.307874790767199;0.8109156537627977;-1.0330864744246364;7.2;10.44;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;0;0;flat;0.0;0;1.6;flat;0;0.01;0.0;1
6.0;6.0;60.646541;59.714188666666665;327.7;85.77217254867722;-1.4812997939392174;105.0;;;2.0953885145015714;;0.0291748046875;1.0689697265625;0.15234375;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;;;8.4;9.9;7.9;7.8;4.232142971114146;1.5703211472330814;-0.9260129152303538;7.2;10.44;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;1;0;flat;0.0;0;1.6;flat;0;0.01;0.0;1
8.0;6.0;60.64652633333333;59.714211166666665;328.0;85.08434270530847;-3.1674148959057726;103.0;;;2.042857978103145;;0.0543212890625;1.00732421875;0.0621337890625;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;;;9.3;9.9;7.9;8.2;3.9054911754572594;2.2965933609787177;-0.9605734426942916;7.2;10.44;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;1;0;up;0.0;0;2.2965933609787177;flat;1;0.01;0.0;1
10.0;6.0;60.646515;59.71422733333333;328.4;85.33775580410222;-0.856778981122963;104.0;;;1.539488559891299;;0.0152587890625;1.01708984375;0.0704345703125;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;;;9.3;9.5;7.1;6.8;3.4558426874852755;2.962282283284833;-1.0735612510743562;7.2;10.44;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;1;0;up;0.0;0;2.962282283284833;up;1;0.01;0.0;1
13.0;6.0;60.64649166666667;59.714253166666666;330.4;83.76541696543762;-2.3710200786366604;104.0;;;2.9553809995995857;;0.04248046875;1.0101318359375;0.051513671875;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;;;7.4;9.5;7.1;6.8;2.9828592979497683;3.5453317048600264;-0.987061383383526;7.2;10.44;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;1;0;up;0.0;0;3.5453317048600264;up;1;0.01;0.0;1
15.0;6.0;60.646472;59.71427966666667;331.7;84.52722590379139;-2.460481016593432;107.0;;;2.623794232756517;;0.0401611328125;0.9921875;0.0245361328125;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;;;7.4;7.8;6.7;8.0;2.560645653576424;4.028828555192954;-1.0283928664352073;7.2;7.2;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;0;0;up;0.0;0;4.028828555192954;up;1;0.01;0.0;1
16.0;6.0;60.64646183333333;59.71429216666667;333.0;84.68192033523907;-5.220648480555884;107.0;;;1.3214316847159677;;0.0960693359375;1.0443115234375;-0.0045166015625;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;;;7.9;7.9;6.7;8.3;2.2404536059762896;4.400752238908916;-1.043887064678441;7.2;7.2;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;0;0;up;0.0;7;4.400752238908916;up;1;0.01;0.0;1
18.0;6.0;60.64644666666667;59.71431016666666;333.8;83.19843353510885;-6.55281369421999;108.0;;;1.9533105195801745;;0.118896484375;1.032958984375;-0.0313720703125;Груженный движется вперед;32;75131;130;;;;;764.0;25.0;768.0;21.0;776.0;37.0;760.0;33.0;724.0;31.0;772.0;33.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];679;;;8.3;7.9;5.8;8.3;2.053386560557045;4.653723972126446;-1.0720590525533793;7.2;7.2;7.1;7.1;point_30%;7.2;7.1;1;0;0;0;-;0.0;0;0;up;0.0;0;4.653723972126446;up;1;0.01;0.0;1
