len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;10.0;60.645958666666665;59.71518533333333;332.1;77.48306796875681;3.96538497427721;101.0;;60.8;0.0;;-0.0673828125;0.9443359375;0.199462890625;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;0.0;;6.9;7.1;3.5;11.2;-2.6136057179742567;11.432150795839807;-1.1581534815195833;8.2;8.2;8.2;11.889999999999999;point_30%;8.2;8.2;1;0;0;0;-;0.0;0;0;0;0.0;11;0.0;0;0;0.01;0.0;1
4.0;11.0;60.6459275;59.715213166666665;332.5;84.68220849128463;-1.5395138451167067;93.0;;60.8;3.7874158240647993;;0.025146484375;1.0040283203125;0.044189453125;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;;;6.9;7.1;3.7;7.7;-0.5593155038253905;5.048733675298594;-1.0548765087817418;8.2;8.2;8.2;11.889999999999999;point_30%;8.2;8.2;1;0;0;0;-;0.0;0;0;0;0.0;0;0.0;0;0;0.01;0.0;1
7.0;11.0;60.64589883333333;59.71524633333333;332.4;78.29434445971452;-1.5839202671947312;96.0;;60.4;3.6687377456342003;;-0.00439453125;1.0616455078125;0.1014404296875;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;;;11.1;10.0;4.0;11.0;0.8812937893793524;1.202023008053816;-0.8098335349198624;11.889999999999999;8.2;8.2;11.889999999999999;point_30%;8.2;8.2;1;0;0;0;-;0.0;0;0;up;0.0;0;0.8812937893793524;0;1;0.8812937893793524;0.0;1
11.0;0.1;60.6458785;59.71528583333333;332.6;83.98947821978493;-0.1340735782847675;105.0;;60.4;3.1256839282747526;;-0.0098876953125;0.9505615234375;0.0052490234375;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;;;11.1;9.8;4.0;12.6;1.8984581681883723;-0.7640850853522885;-0.6853274154930937;11.889999999999999;8.2;8.2;11.889999999999999;point_30%;8.2;8.2;1;0;0;0;-;0.0;1;0;up;0.0;0;1.8984581681883723;up;1;0.01;0.0;1
14.0;11.0;60.64586066666666;59.71533033333333;332.4;84.33185717785024;-2.323541812070773;99.0;;60.4;3.1365889595175784;;0.0377197265625;1.0460205078125;-0.0399169921875;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;;;7.3;8.7;4.5;7.7;2.641419498018525;-1.3977768806600608;-0.6903311837923733;8.2;8.2;8.2;11.889999999999999;point_30%;8.2;8.2;1;0;0;0;-;0.0;1;0;up;0.0;0;2.641419498018525;up;1;0.01;0.0;1
17.0;11.0;60.645844;59.7153715;332.3;78.64815527990376;-5.552959288023942;93.0;;60.4;2.9135948532648825;;0.0968017578125;0.9669189453125;-0.16552734375;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;;;4.9;7.2;4.5;11.6;3.2226041351951107;-1.1480395838065434;-0.6119274878627414;8.2;8.2;8.2;11.889999999999999;point_30%;8.2;8.2;1;0;0;0;-;0.0;1;0;up;0.0;0;3.2226041351951107;up;1;0.01;0.0;1
20.0;12.0;60.64582433333333;59.71542866666667;332.0;79.60845946349143;-1.7763983372914005;102.0;;60.4;3.811181652213836;;0.041259765625;1.1640625;0.03076171875;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;;;5.8;8.2;8.1;11.6;3.72180155899187;-0.37337986483959895;-0.6379061188964839;8.2;8.2;8.2;11.889999999999999;point_30%;8.2;8.2;1;0;0;0;-;0.0;1;0;up;0.0;11;3.72180155899187;up;1;0.01;0.0;1
25.0;14.0;60.64580216666667;59.71548966666667;332.9;82.48536938367124;-4.459332455197796;108.0;;60.4;4.143680301272847;;0.080810546875;1.0386962890625;0.1094970703125;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;;;5.8;11.2;8.1;7.6;4.190343003670968;0.6494576081679497;-0.6864414298719259;8.2;11.889999999999999;8.2;8.2;point_30%;8.2;8.2;1;0;0;0;-;0.0;0;0;up;0.0;0;4.190343003670968;up;1;0.01;0.0;1
29.0;15.0;60.645778;59.71554983333333;334.3;84.02097161631218;-5.077587666958534;108.0;;60.4;4.244735505989068;;0.103515625;1.1275634765625;0.0645751953125;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;;;5.4;11.2;7.3;8.5;4.655280090522996;1.716771635204207;-0.7603996832651099;8.2;11.889999999999999;8.2;8.2;point_30%;8.2;8.2;1;0;0;0;-;0.0;0;0;up;0.0;0;4.655280090522996;up;1;0.01;0.0;1
33.0;15.0;60.64575033333333;59.71560916666667;336.4;82.7866390006676;-1.916559003248549;104.0;;60.4;4.4687178680764;;0.0386962890625;0.869140625;-0.000732421875;Груженный движется вперед;32;75131;130;;;;;748.0;22.0;744.0;19.0;756.0;36.0;740.0;33.0;684.0;28.0;748.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];302;;;8.7;8.2;8.2;8.5;5.123563459906946;2.689185950404047;-0.6746642829284406;8.2;8.2;8.2;8.2;-;8.2;8.2;0;0;0;0;-;0.0;0;0;up;0.0;0;5.123563459906946;up;1;3.388317742431307;5.017398225276799;1
