len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;8.0;60.646475333333335;59.714233666666665;336.6;80.35998130058725;-3.837385966915938;107.0;;84.4;0.0;;0.064697265625;0.988525390625;0.14794921875;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;0.0;;7.3;8.0;7.4;8.1;9.180185684335713;4.153772590305402;-0.651915168793066;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;8.0;4.153772590305402;up;0;0.01;0.0;0
5.0;8.0;60.64644833333333;59.71430583333333;337.3;81.01446114467629;-5.337970777158869;109.0;;84.4;4.954056025712987;;0.0968017578125;1.0157470703125;0.12353515625;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;;;7.2;7.3;7.3;7.9;7.699007650658898;4.427596544486952;-0.7326434629548846;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.427596544486952;up;0;0.01;0.0;0
7.0;8.0;60.646434;59.71433833333333;337.4;79.01557284738314;-3.510067930263882;106.0;;84.4;2.385641949777008;;0.0660400390625;1.0587158203125;0.1966552734375;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;;;6.7;6.8;7.3;7.4;6.995966981929678;4.325003702455524;-0.7067829366989304;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.325003702455524;up;0;0.01;0.0;0
10.0;8.0;60.646419;59.714374166666666;337.8;80.3382819787378;-4.600310597791934;108.0;;84.4;2.5713643456061095;;0.08447265625;1.02294921875;0.1483154296875;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;;;6.3;6.8;8.3;6.6;6.768890024119633;4.000394284869129;-0.7536279782756212;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.000394284869129;up;0;0.01;0.0;0
12.0;8.0;60.64640366666666;59.7144075;337.8;85.47351858053221;-2.8601788794806646;110.0;;84.4;2.494454465843949;;0.050537109375;0.994873046875;0.0509033203125;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;;;6.3;8.3;8.3;6.8;6.785842814462611;3.572171117603169;-0.8364462751595765;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;8.5;0.0;3.572171117603169;up;0;0.01;0.0;0
15.0;9.0;60.646383666666665;59.71444433333333;338.2;82.30271277283461;-2.017066408165892;106.0;;84.4;2.999498319927026;;0.03369140625;1.0279541015625;0.122314453125;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;;;6.9;8.3;7.3;6.8;6.877681026646261;3.1265230990537427;-0.8798407410580316;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;8.5;3.1265230990537427;up;0;0.01;0.0;0
18.0;9.0;60.6463645;59.71447666666667;338.6;80.36176279872538;-3.603678043278559;104.0;;84.4;2.7686941698207495;;0.0631103515625;1.0391845703125;0.1527099609375;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;;;6.9;7.4;7.3;6.6;6.930599916003594;2.7212086674409495;-0.7740177225762115;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.7212086674409495;up;0;0.01;0.0;0
21.0;9.0;60.64634916666667;59.71450866666667;339.2;81.61436977144585;-5.047346676730621;106.0;;84.4;2.441907298863621;;0.0921630859375;1.030029296875;0.1195068359375;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;;;8.4;6.3;6.4;7.3;6.878684264704514;2.3893392681121877;-0.7364829854099857;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.3893392681121877;up;0;0.01;0.0;0
23.0;11.0;60.64633383333333;59.714543166666665;338.6;79.9783261224546;-2.348487450160192;107.0;;84.4;2.5412557227271955;;0.0404052734375;0.9739990234375;0.081298828125;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;;;8.4;6.3;6.4;9.2;6.696458326947381;2.143162820845469;-0.7122427796585948;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.143162820845469;up;0;0.01;0.0;0
26.0;11.0;60.646318666666666;59.714579;338.4;84.00077474390501;-0.4500288984756841;105.0;;84.4;2.5834559928799083;;0.0089111328125;0.9759521484375;0.107421875;Груженный движется вперед;32;75131;130;;;;;748.0;25.0;748.0;22.0;764.0;38.0;760.0;34.0;716.0;32.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];681;;;8.3;8.7;6.3;7.4;6.391435774150544;1.9778471871527126;-0.9584777034232554;6.9;6.9;7.1;7.1;-;6.9;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;11.0;1.9778471871527126;up;0;0.01;0.0;0
