len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf
2252.0;17.0;60.65005133333333;59.713651166666665;440.0;79.4690813482274;-7.198476552281019;99.0;;93.2;4.951752934320779;;0.1365966796875;1.0703125;0.0858154296875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;745.170731707317;24.414634146341463;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.2;6.0;8.9;6.4;7.110781872749235;4.841421405683046;1.2019255278987113;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;7.110781872749235;up;4;0.01;41.599422998526755
2257.0;18.0;60.6500955;59.713686;441.1;76.52538579939926;-12.659600862627329;99.0;;93.2;5.27126583354307;;0.2293701171875;1.026611328125;-0.01611328125;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;745.0731707317074;24.463414634146343;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.2;5.6;7.7;6.4;6.990896653392946;4.717097244319409;1.1602553274247946;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.990896653392946;up;4;0.01;41.599422998526755
2263.0;19.0;60.65014016666667;59.71372566666667;441.7;79.13742562769565;-4.006759651713794;99.0;;93.2;5.422977530883481;;0.07373046875;0.991943359375;0.1689453125;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;744.9756097560976;24.51219512195122;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.2;5.6;8.1;5.8;6.888176959706562;4.841877571642889;1.1412328545885786;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.888176959706562;up;4;0.01;41.599422998526755
2268.0;19.0;60.6501835;59.713766166666666;442.0;78.52636434941823;-2.897994456984854;99.0;;93.2;5.305988551621155;;0.0516357421875;1.0081787109375;0.192138671875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;744.8780487804878;24.5609756097561;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;6.6;6.0;8.1;7.0;6.434277129362783;5.334864371653583;1.1599146817173789;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.434277129362783;up;4;0.01;41.599422998526755
2273.0;19.0;60.650227;59.71380483333333;442.4;84.4424524096669;-5.01255510538196;99.0;;93.2;5.282116087998403;;0.0928955078125;1.047607421875;0.0428466796875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;744.780487804878;24.609756097560975;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;6.8;6.8;8.3;7.0;6.246984473637018;5.528988348916475;1.1993724156405738;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.246984473637018;up;4;0.01;41.599422998526755
2279.0;19.0;60.65027083333333;59.713839666666665;442.9;80.91252728873893;-8.630239918748615;99.0;;93.2;5.236668053098198;;0.1524658203125;1.0225830078125;0.0408935546875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;744.6829268292682;24.658536585365855;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;6.8;6.8;8.3;6.3;5.943169307500583;5.76315850047736;1.2091183320748804;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;5.943169307500583;up;4;0.01;41.599422998526755
2284.0;19.0;60.65031466666667;59.7138735;443.2;79.11660113657807;-7.194198929980087;99.0;;93.2;5.21711165598469;;0.1292724609375;1.0281982421875;0.1201171875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;744.5853658536586;24.70731707317073;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;6.3;6.4;10.4;6.3;5.972711388914801;6.206682477222295;1.1383950998544665;7.3;7.3;11.02;7.6;point_30%;7.3;7.6;11;0;0;0;-;0.0;0;0;up;0.0;0.0;5.972711388914801;up;4;0.01;41.599422998526755
2289.0;19.0;60.6503575;59.713913833333336;443.0;73.88551254933536;-6.782492024571441;99.0;;93.2;5.251613606344167;;0.115478515625;0.9796142578125;0.10693359375;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;744.4878048780488;24.75609756097561;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.9;6.4;10.4;5.8;6.1743145196935085;7.168720279152483;1.1401665916518036;7.3;7.3;11.02;7.6;point_30%;7.3;7.6;11;0;0;0;-;0.0;0;0;up;0.0;0.0;6.1743145196935085;up;4;0.01;41.599422998526755
2294.0;19.0;60.6504;59.71395366666667;443.0;75.83592441755417;-4.962774390467273;99.0;;93.2;5.2064963590844595;;0.0865478515625;1.02197265625;0.2083740234375;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;744.390243902439;24.804878048780488;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.9;5.3;9.8;7.0;6.512774237927841;7.416120213991941;1.1038418832721457;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.512774237927841;up;4;0.01;41.599422998526755
2299.0;19.0;60.65044083333333;59.71399566666667;442.9;76.78330080845569;-5.740953218319569;99.0;;93.2;5.090606371159396;;0.10986328125;1.06640625;0.2235107421875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;744.2926829268292;24.853658536585368;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.6;6.7;9.7;7.0;6.2684551674386135;8.282306065995453;1.127744585882234;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;6.2684551674386135;up;4;0.01;41.599422998526755
2304.0;19.0;60.65048266666667;59.714036166666666;443.2;79.15407092811705;-8.111019939023869;99.0;;93.2;5.154637551325117;;0.1612548828125;1.1148681640625;0.04638671875;Груженный движется вперед;32;75131;130;;;;;748.0;19.0;744.0;15.0;752.0;31.0;744.1951219512196;24.902439024390244;700.0;25.0;748.0;26.0;/home/pi/adviser/route1;[];686;;;7.6;6.7;8.0;7.0;5.986329165971848;8.524819519908384;1.18834112474448;7.3;7.3;7.6;7.6;-;7.3;7.6;0;0;0;0;-;0.0;0;0;up;0.0;0.0;5.986329165971848;up;4;0.01;41.599422998526755
