len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;5.0;60.6464635;59.71432566666667;343.6;84.04839876158711;-4.36421938535822;111.0;;96.8;0.0;128.0;0.078369140625;1.0206298828125;0.03076171875;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.0;0.035555555555555556;7.8;7.9;8.0;8.5;4.242753579256906;4.418263021903919;-0.8786925850090377;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.242753579256906;up;0;0.01;0.0;0
1.0;5.0;60.64645433333333;59.71434116666666;343.3;81.26310833731534;-3.985274531244036;112.0;;96.8;1.325417526831745;128.0;0.072265625;1.0216064453125;0.1400146484375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.026825928309962024;0.07111111111111111;7.8;7.9;8.7;7.4;4.373987591455383;3.3895807140482055;-0.9598811198803161;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.373987591455383;up;0;0.01;0.0;0
3.0;5.0;60.646445;59.7143545;342.6;84.38128041712693;-5.239312592004989;111.0;;96.8;1.2684284872821558;128.0;0.0924072265625;1.02294921875;0.01416015625;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.028031186552534743;0.10666666666666666;7.8;8.2;8.7;7.0;4.387625237285663;2.969708453302946;-0.830783479932625;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.387625237285663;up;0;0.01;0.0;0
4.0;6.0;60.6464365;59.714370333333335;342.1;81.9093014469706;-3.891624146645421;110.0;;96.8;1.2813581271314654;128.0;0.0711669921875;1.0389404296875;0.1292724609375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.02774833577178975;0.14222222222222222;7.4;8.2;7.8;7.0;4.320690069738907;2.968630253270554;-0.8507239934000204;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;6.0;0.0;4.320690069738907;up;0;0.01;0.0;0
5.0;6.0;60.646427;59.714387333333335;341.9;86.16892243264925;-3.730642180485368;110.0;;96.8;1.4067730643502332;128.0;0.0654296875;1.0089111328125;0.0118408203125;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.025274549574901137;0.17777777777777778;7.4;6.3;7.8;7.6;4.20181068988345;3.228527860451587;-0.778054832275918;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.20181068988345;up;0;0.01;0.0;0
7.0;6.0;60.6464175;59.714407;341.5;84.59538050895648;-2.8308617516968244;109.0;;96.8;1.5067104657468853;128.0;0.0509033203125;1.0233154296875;0.0826416015625;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.0235981340568511;0.21333333333333335;6.9;6.9;8.5;7.6;4.052121838490717;3.6214901455392585;-0.8981493302857042;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.052121838490717;up;0;0.01;0.0;0
8.0;6.0;60.6464095;59.71442;340.1;83.56647896143778;-6.137824712693523;107.0;;96.8;1.138582462802485;128.0;0.107666015625;1.0067138671875;-0.0001220703125;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.031227914285663416;0.2488888888888889;6.9;6.9;8.5;5.4;3.886165487661148;4.047222494713939;-0.7233325642938424;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;6.0;0.0;3.886165487661148;up;0;0.01;0.0;0
10.0;6.0;60.64639983333333;59.71444233333333;339.7;83.80761786066566;-3.380127164405968;108.0;;96.8;1.625817284155794;128.0;0.061279296875;1.0345458984375;0.0938720703125;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.021869342823488177;0.28444444444444444;5.6;6.9;8.3;5.4;3.7127919324501084;4.4307562009376635;-0.815416075333665;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.7127919324501084;up;0;0.01;0.0;0
11.0;7.0;60.64638716666666;59.71446666666667;339.7;84.03421541827672;-2.78953334970914;108.0;;97.2;1.9368810231658555;128.0;0.050537109375;1.0057373046875;0.09033203125;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.018357119064257015;0.32;6.4;7.3;8.6;5.5;3.536060882493813;4.720157855248639;-0.7669023758554525;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.536060882493813;up;0;0.01;0.0;0
14.0;7.0;60.64637433333333;59.714493833333336;340.0;84.60592057717636;-3.9229062094823455;109.0;;97.2;2.058808720080646;128.0;0.07080078125;1.0303955078125;0.054931640625;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.01726996549449373;0.35555555555555557;7.3;7.3;8.1;5.6;3.356142553635239;4.884238738055748;-0.7923291500276695;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.356142553635239;up;0;0.01;0.0;0
16.0;8.0;60.64636033333333;59.714522;340.0;82.72136175091387;-2.972515945155846;110.0;;96.8;2.1889315682402253;128.0;0.054931640625;1.05126953125;0.1224365234375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.016243338106791603;0.39111111111111113;7.6;6.4;7.8;6.3;3.1702187595500497;4.910264210433063;-0.8313918594544716;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.1702187595500497;up;0;0.01;0.0;0
18.0;8.0;60.646346;59.714548666666666;340.4;84.88720549333894;-3.770449548010779;112.0;;96.8;2.1595221287301025;128.0;0.0693359375;1.03369140625;0.063232421875;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.01646454791202526;0.4266666666666667;7.9;6.2;7.6;7.9;2.9733840033725083;4.801663105414324;-0.7921415299134034;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.9733840033725083;up;0;0.01;0.0;0
20.0;8.0;60.64633283333333;59.71457516666667;340.3;81.51229496975765;-1.9581831787559127;110.0;;96.8;2.0590190791019554;128.0;0.0352783203125;1.0235595703125;0.1478271484375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.0;34.0;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.0172682011140291;0.46222222222222226;8.3;6.2;5.6;7.9;2.7595465693213947;4.575737119287497;-0.8182649495275625;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.7595465693213947;up;0;0.01;0.0;0
22.0;9.0;60.646318;59.7146035;340.2;83.35933756087097;-3.149261592359175;109.0;;97.2;2.262129958096279;128.0;0.0570068359375;1.0289306640625;0.105712890625;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.1333333333333;33.96666666666667;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.015717733381453353;0.4977777777777778;8.7;7.0;5.7;7.5;2.522329614321612;4.261370202881849;-0.8004218047497496;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.522329614321612;up;0;0.01;0.0;0
25.0;10.0;60.646301666666666;59.71463583333333;340.1;83.79793065809493;-1.0821784462172432;109.0;;96.8;2.5336152077430585;128.0;0.019775390625;1.032470703125;0.093505859375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.3111111111111;33.92222222222222;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.014033526261956883;0.5333333333333333;7.6;7.2;6.4;7.4;2.2333909009527524;3.934343943302749;-0.8130949741296725;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.2333909009527524;up;0;0.01;0.0;0
27.0;10.0;60.646285;59.714668;339.8;81.43847289890354;-2.796164403142812;107.0;;96.8;2.5541171140379912;128.0;0.0523681640625;1.0445556640625;-0.021240234375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.4888888888888;33.87777777777778;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.01392087910148457;0.5688888888888889;7.2;7.8;8.0;5.8;1.978080825577943;3.224784083323569;-0.8262858453793553;6.8;6.8;7.1;7.1;-;6.8;7.1;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;1.978080825577943;up;0;0.01;0.0;0
30.0;11.0;60.646267;59.714701833333336;339.3;83.38702769721374;-0.8692525667933638;106.0;;96.8;2.7246812992604004;128.0;0.0155029296875;1.07958984375;0.1143798828125;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.6666666666667;33.83333333333333;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.013049436484629199;0.6044444444444445;6.8;7.9;9.3;5.8;1.5022604240077253;3.1099646847939444;-0.8071090497152986;6.8;6.8;10.295;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;up;1;0.01;0.0;0
33.0;11.0;60.64624916666666;59.71473666666667;338.8;83.5045262440122;-1.4410113680699643;108.0;;96.8;2.7485198142741223;128.0;0.026123046875;1.0274658203125;-0.0413818359375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;712.8444444444444;33.78888888888889;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.012936255860664296;0.64;7.3;7.9;9.3;7.0;1.0721682716121637;3.0392939886413433;-0.7719374794093379;6.8;6.8;10.295;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;0
36.0;11.0;60.64623;59.71477683333333;339.0;85.08693444394049;-0.460112519456884;109.0;;96.8;3.0589003019157945;128.0;0.00927734375;1.0582275390625;0.0863037109375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;713.0222222222222;33.74444444444444;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.01162363988564356;0.6755555555555556;10.0;7.3;7.9;7.0;0.5685750498082961;3.194795534132891;-0.822635159996485;9.86;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;0
39.0;11.0;60.64620966666666;59.71481533333333;339.2;81.8444332706741;-0.4064820611659027;111.0;;96.8;3.0882893290283713;128.0;0.0087890625;1.0380859375;0.121337890625;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;713.2;33.7;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.011513026069594957;0.7111111111111111;10.0;7.2;7.9;8.3;0.3027420355922332;3.4597657727235513;-0.7739141813057011;9.86;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;3.097373909519778;1.3563149005809203;0
42.0;10.0;60.6461925;59.71485116666667;339.3;85.01018297960442;-0.2907798245274873;108.0;;96.8;2.734164025825656;128.0;0.001708984375;1.02392578125;0.0487060546875;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;713.3777777777777;33.65555555555555;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.013004177957033349;0.7466666666666667;8.3;8.0;8.0;8.3;-0.12770041993615694;4.18791484499611;-0.6371250582072534;6.8;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.3939903144859458;0
44.0;9.0;60.6461795;59.714887;339.4;84.44118557808653;-2.4013736946898225;108.0;;96.8;2.4326928585617917;128.0;0.0433349609375;1.007568359375;0.065185546875;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;713.5555555555555;33.611111111111114;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.014615719132162044;0.7822222222222223;6.8;8.0;10.4;5.7;-0.3793035538236771;5.031705579731709;-0.8428220768809469;6.8;6.8;10.295;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.3939903144859458;0
47.0;9.0;60.646161166666666;59.71492033333333;339.2;83.10037458875993;3.6452541114667096;113.0;;96.8;2.7338598885154286;128.0;-0.0665283203125;0.984375;-0.001220703125;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;713.7333333333333;33.56666666666666;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.013005624649938931;0.8177777777777778;8.6;7.4;10.4;6.9;-0.5342438615245368;5.948806636158369;-0.6999433399169437;6.8;6.8;10.295;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.3323093271193112;0
49.0;9.0;60.64614616666667;59.714956666666666;339.1;80.75778652562357;0.736551561277399;117.0;;96.8;2.5921865518991765;128.0;-0.0146484375;1.005126953125;0.1566162109375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;713.911111111111;33.522222222222226;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.013716433923131661;0.8533333333333334;8.6;7.9;8.0;6.9;-0.7360992426291222;6.709094112682205;-0.7423720825724831;6.8;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.286760290294719;0
52.0;9.0;60.646132;59.71498816666666;338.9;80.59265602978246;-0.8184770224209508;111.0;;96.8;2.3327875967951512;128.0;0.012939453125;1.116455078125;0.176513671875;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;714.088888888889;33.477777777777774;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.015241660065581097;0.888888888888889;8.6;7.9;8.3;5.0;-0.5631776195772673;7.0848117561093735;-0.7339734225652097;6.8;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.3563149005809203;0
54.0;9.0;60.646117333333336;59.71502133333333;338.9;76.39393027878279;3.388339003750052;109.0;;96.8;2.4375208918855416;128.0;-0.067138671875;1.063720703125;0.24609375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;714.2666666666667;33.43333333333334;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.014586769563255556;0.9244444444444445;8.0;8.1;8.3;5.0;-0.34276261753034304;8.069453360042315;-0.8316064174525684;6.8;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.3812014125181848;0
57.0;10.0;60.646098333333335;59.71505666666667;338.4;79.92189406348845;-0.500708229806525;107.0;;96.8;2.8620622133437297;128.0;0.009521484375;1.0052490234375;0.1783447265625;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;714.4444444444445;33.388888888888886;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.012423054743459339;0.9600000000000001;10.3;8.7;9.1;5.0;-0.0649451257978065;7.795648100001209;-0.8025530690600062;9.86;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.4070182613503004;0
60.0;10.0;60.646081;59.715090833333335;338.1;80.88034510564353;-0.0089960278032272;106.0;;96.8;2.6831912778086644;128.0;0.0059814453125;1.0213623046875;0.1441650390625;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;714.6222222222223;33.34444444444445;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.013251219117182515;0.9955555555555556;10.3;8.7;9.1;4.7;0.550956691226953;7.464028845619872;-0.8947452498945765;9.86;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.550956691226953;1.4202920185328505;0
63.0;0.1;60.64606083333334;59.71512383333334;337.9;82.97510108722479;-1.4912513450646996;106.0;;96.8;2.8779968913634826;128.0;0.02734375;1.0291748046875;0.1160888671875;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;714.8;33.3;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.012354271702743473;1.031111111111111;8.9;5.1;8.6;7.6;1.0722375873693073;7.615568558073485;-0.8767236098756555;9.86;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.4202920185328505;0
66.0;10.0;60.64603933333333;59.71516033333333;338.2;85.77031552947551;-1.529264484762229;107.0;;96.4;3.113794022869932;128.0;0.025390625;0.980224609375;0.068115234375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;714.9777777777778;33.25555555555556;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.01141872432614685;1.0666666666666667;8.9;8.1;7.6;8.2;1.0856890402703505;7.851471920796175;-0.881864042508663;9.86;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.4070182613503004;0
69.0;10.0;60.6460185;59.71519533333333;338.5;80.75571989012343;-2.434894347655684;108.0;;96.4;3.0044294078862945;128.0;0.0457763671875;1.064697265625;0.1639404296875;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;715.1555555555556;33.21111111111111;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.011834378754989603;1.1022222222222222;9.8;8.1;7.2;8.2;1.4240012307221601;6.517792173817932;-0.8769990914566841;9.86;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.3939903144859458;0
72.0;11.0;60.645998166666665;59.71522983333333;338.5;84.58798572090662;-1.0898896677118883;104.0;;96.4;2.9441536347020545;128.0;0.019287109375;1.0455322265625;0.0677490234375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;715.3333333333333;33.16666666666667;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.01207666445679685;1.1377777777777778;9.8;6.8;7.2;8.0;1.5001597385271075;5.8549025042663105;-0.78352557310735;9.86;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.4476053265815592;0
74.0;11.0;60.64598066666667;59.71526566666667;338.3;84.09084797124683;-1.812166926306712;106.0;;96.4;2.760236363718116;128.0;0.034423828125;1.0693359375;0.091064453125;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.0;24.0;760.0;39.0;752.0;36.0;715.5111111111112;33.12222222222222;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.0128813445192285;1.1733333333333333;7.2;6.4;8.8;8.0;1.550265023686367;4.938122930851394;-0.9222549052616991;6.8;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;1.4202920185328505;0
78.0;11.0;60.64595716666667;59.715302;338.6;86.73047990290992;-2.636056543948094;112.0;;96.4;3.282515046894069;128.0;0.047607421875;1.033447265625;0.034912109375;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.1818181818182;24.0;760.0;39.0;752.0;36.0;715.6888888888889;33.07777777777778;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.010831802763310526;1.208888888888889;8.1;7.3;8.8;8.0;1.4402050142186016;4.143677599324425;-0.8545447154183519;6.8;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;1.3264705241150585;3.645957984243051;0
80.0;10.0;60.64593933333333;59.715333666666666;338.1;82.64360613282221;-2.939981286467989;113.0;;96.4;2.63198235686266;128.0;0.0511474609375;0.998046875;0.0828857421875;Груженный движется вперед;32;75131;130;;-125.0;;4.0;748.0;28.0;748.4242424242425;24.0;760.0;39.0;752.0;36.0;715.8666666666667;33.03333333333333;760.0;36.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];711;0.01350904023457741;1.2444444444444445;8.1;7.3;6.1;8.0;1.57164774131177;4.163238122805388;-0.9644721993863246;6.8;6.8;7.1;7.1;point_30%;6.8;7.1;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;3.6136928693382453;0
