len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;8.0;60.64649933333333;59.71428183333333;350.6;84.36076645844743;-4.123709990661035;106.0;;;0.0;;0.0765380859375;1.0582275390625;0.01220703125;Груженный стоит;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;0.0;;9.7;9.1;6.1;7.4;3.521135051258541;4.782685219044087;-0.5491956881363107;10.15;7.0;7.0;7.0;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;8.5;4.782685219044087;up;0;0.01;0.0;1
1.0;8.0;60.646492333333335;59.71430516666667;350.5;80.86086685168306;-3.869572900369764;106.0;;;1.4928110476122178;;0.0655517578125;1.0194091796875;0.143310546875;Груженный движется вперед;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;;;7.2;9.1;6.5;7.4;3.634006624729189;2.5757972860709595;-1.2916404772081194;7.0;7.0;7.0;7.0;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.5757972860709595;up;0;0.01;0.0;1
4.0;8.0;60.64647266666667;59.71431666666667;350.6;82.15833145589212;-0.145619354084696;99.0;;;2.2774854839394156;;0.0013427734375;1.042724609375;0.08544921875;Груженный движется вперед;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;;;7.2;7.2;6.5;9.7;3.4102108790737473;1.8344332762695905;-1.0484386040235556;7.0;7.0;7.0;10.15;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;1.8344332762695905;up;0;0.01;0.0;1
6.0;8.0;60.646458333333335;59.7143335;350.5;84.6140384549756;-2.1462178548303807;103.0;;;1.8411296249477922;;0.0372314453125;1.0191650390625;0.0419921875;Груженный движется вперед;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;;;8.0;7.7;8.8;9.7;3.0122698298528583;2.0476257605861337;-1.1342457328046183;7.0;7.0;7.0;10.15;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.0476257605861337;up;0;0.01;0.0;1
7.0;8.0;60.6464445;59.71434666666666;349.8;84.7321386218672;-5.234073359483112;105.0;;;1.6993150070591097;;0.09130859375;0.9925537109375;-0.01025390625;Груженный движется вперед;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;;;8.0;9.7;8.8;7.6;2.568075820155922;2.8044938181143433;-1.149963615013566;7.0;10.15;7.0;7.0;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.8044938181143433;up;0;0.01;0.0;1
9.0;9.0;60.646433;59.714357166666666;349.1;82.79765245757645;-5.0684984021376245;102.0;;;1.4025714272583891;;0.0880126953125;1.0350341796875;0.040283203125;Груженный движется вперед;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;;;8.7;8.1;7.0;7.6;2.173949193971948;3.785254279942833;-0.32986708826485023;7.0;10.15;7.0;7.0;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;1;0;up;0.0;8.5;3.785254279942833;up;0;2.809007072017023;1.0439619857822864;1
10.0;0.1;60.646429;59.714381;348.1;85.75708817442454;-4.001143291231989;108.0;;;1.3746881930573478;;0.072265625;1.0316162109375;0.0238037109375;Груженный движется вперед;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;;;8.7;11.0;7.6;8.3;1.8976959695603988;4.7522329730023465;-0.6510894436054571;7.0;10.15;7.0;7.0;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.7522329730023465;up;0;0.01;0.9859640976832704;1
12.0;9.0;60.64641866666667;59.71440866666666;347.4;85.31156639892296;-2.7416105623722102;110.0;;;1.8980517037650304;;0.0537109375;1.1224365234375;0.0732421875;Груженный движется вперед;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;;;8.8;11.0;7.6;8.3;1.781665512822038;5.540875963913027;-1.257111089180032;7.0;10.15;7.0;7.0;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;5.540875963913027;up;0;0.01;0.9680374777253928;1
13.0;10.0;60.646407333333336;59.714416166666666;346.2;84.27079109977481;-4.255031590951042;103.0;;;1.3263650116462098;;0.0728759765625;0.9775390625;0.0640869140625;Груженный движется вперед;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;;;8.8;7.1;7.0;6.9;1.8458082106697757;6.050760802831665;-0.8261896745845352;7.0;7.0;7.0;7.0;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;6.050760802831665;up;0;0.01;1.0338264325222641;1
15.0;11.0;60.64639483333333;59.71443966666666;345.4;80.53180454628856;-8.945922623893996;103.0;;;1.8923076171984208;;0.139892578125;0.9256591796875;-0.036865234375;Груженный движется вперед;32;75131;130;;;;;768.0;25.0;768.0;25.0;772.0;40.0;764.0;36.0;724.0;34.0;776.0;38.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];593;;;6.1;8.2;7.0;7.8;2.0907331443995236;6.236607767298986;-0.8498348985460029;7.0;7.0;7.0;7.0;point_60%;7.0;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;6.236607767298986;up;0;5.4479565799156795;13.781887039820392;1
