len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;4.0;60.6466605;59.71413833333333;355.4;83.75013477682772;-4.32412873075018;99.0;;;0.0;;0.0791015625;1.0428466796875;0.0806884765625;Груженный стоит;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;0.0;;5.4;9.1;9.6;4.1;4.411215758242869;4.32412873075018;-0.648141150709852;7.3;7.3;7.4;7.4;-;7.3;7.4;0;0.0;0;0;-;0.0;0;0;0;0.0;5.0;0.0;0;0;0.01;0.0;0
2.0;6.0;60.646652333333336;59.71416033333333;355.6;84.25255093926137;-3.2334843051325675;98.0;;;1.5059068963249689;;0.0574951171875;1.0518798828125;0.083984375;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;6.6;8.4;9.2;4.9;4.550515700193755;3.2334843051325675;-0.6772300243813332;7.3;7.3;7.4;7.4;-;7.3;7.4;0;0.0;0;0;-;0.0;1;0;0;0.0;0.0;0.0;0;0;0.01;0.0;0
3.0;6.0;60.64664333333333;59.714183166666665;355.7;82.89529219358772;-0.8611031556571858;98.0;;;1.5988404048478484;;0.01416015625;1.021728515625;0.123046875;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;6.7;8.1;8.0;7.9;6.81826838953986;0.8611031556571858;-0.7579530216668604;7.3;7.3;7.4;7.4;-;7.3;7.4;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;0.8611031556571858;0;1;0.01;0.0;0
5.0;6.0;60.646633666666666;59.714204;355.4;82.44124088982987;-3.991058602707125;97.0;;;1.5653908360726165;;0.06884765625;0.9959716796875;0.109375;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;9.7;7.5;6.0;7.9;6.2298044279885545;3.991058602707125;-0.7582602250654014;10.584999999999999;7.3;7.4;7.4;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;3.991058602707125;up;1;0.01;0.0;0
6.0;6.0;60.646625;59.71422266666666;355.1;80.28936843673205;-6.386231285815775;98.0;;;1.4029986059355974;;0.11279296875;1.0048828125;0.1285400390625;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;8.7;5.4;6.0;10.0;7.231142057687593;6.386231285815775;-0.987508505714819;7.3;7.3;7.4;10.73;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;1;0;up;0.0;5.0;6.386231285815775;up;1;0.01;0.0;0
8.0;7.0;60.646612;59.71424016666667;354.5;77.63057849811551;-5.24275249366537;100.0;;;1.7338606446797395;;0.08740234375;1.003173828125;0.0775146484375;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;7.9;8.4;5.5;10.5;4.4053517334781045;5.24275249366537;-0.7530443818849486;7.3;7.3;7.4;10.73;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;5.24275249366537;up;1;0.01;0.0;0
10.0;8.0;60.64660066666666;59.71426483333333;353.4;85.30643422738225;-2.3392473755244807;103.0;;;1.8448749988317614;;0.0440673828125;1.11279296875;0.078369140625;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;8.3;9.2;5.9;10.5;4.018519432001641;2.3392473755244807;-0.6236418460493258;7.3;7.3;7.4;10.73;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.3392473755244807;up;1;0.01;0.0;0
12.0;9.0;60.6465885;59.71429933333334;352.8;78.65704068107365;-2.300477777205521;101.0;;;2.3192130625773375;;0.040771484375;1.0189208984375;0.1937255859375;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;8.3;9.3;8.8;7.5;10.579919436487119;2.300477777205521;-0.740759832953994;7.3;7.3;7.4;7.4;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.300477777205521;up;1;0.01;0.0;0
14.0;9.0;60.6465755;59.71432833333333;352.5;82.10119458809265;-4.092798364140222;101.0;;;2.1444469817126044;;0.06591796875;1.012939453125;0.0869140625;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;8.5;10.0;8.8;5.8;4.886317402674206;4.092798364140222;-1.0084294560875215;7.3;10.584999999999999;7.4;7.4;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.092798364140222;up;1;0.01;0.0;0
17.0;9.0;60.646556833333335;59.71435233333333;352.2;78.40597275919512;-3.532886603564554;103.0;;;2.456276421205718;;0.052978515625;0.9561767578125;0.167236328125;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;8.5;10.0;8.5;7.9;9.775283232297243;3.532886603564554;-1.0413049727719312;7.3;10.584999999999999;7.4;7.4;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;3.532886603564554;up;1;0.01;0.0;0
19.0;9.0;60.6465405;59.71437183333333;351.2;84.90989872088734;2.641259445673912;104.0;;;2.1067369008184036;;-0.0433349609375;0.9775390625;0.0714111328125;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;8.0;9.1;7.6;8.1;4.16708157832078;-2.641259445673912;-1.0898441103227823;7.3;7.3;7.4;7.4;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;-2.641259445673912;up;1;3.6304168694162984;3.4858290942861734;0
21.0;8.0;60.646525;59.71438833333333;350.1;84.13990142718617;-1.2604512431280783;107.0;;;1.94627697914632;;0.023681640625;1.0982666015625;0.1075439453125;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;9.6;9.2;7.6;10.2;5.5662064392450885;1.2604512431280783;-1.0850756460569664;10.584999999999999;7.3;7.4;10.73;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;1;0;up;0.0;8.5;1.2604512431280783;up;1;0.01;3.3880955682781497;0
23.0;8.0;60.64650983333333;59.71440466666667;349.4;83.9416990730214;-1.7852483942150554;102.0;;;1.9091938719400645;;0.032470703125;1.0723876953125;0.0455322265625;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;9.6;9.2;7.6;8.4;2.42906025741547;1.7852483942150554;-1.0688694143779163;10.584999999999999;7.3;7.4;7.4;point_30%;7.3;7.4;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;1.7852483942150554;up;1;0.01;3.5541786843702154;0
24.0;8.0;60.6464945;59.71442183333333;349.0;81.09051188875691;-2.43378964815591;101.0;;;1.9470869461950036;;0.0439453125;1.0189208984375;0.14453125;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;7.7;9.2;7.1;8.4;7.994419692172825;2.43378964815591;-1.1314497027313535;7.3;7.3;7.4;7.4;-;7.3;7.4;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.43378964815591;up;1;0.01;3.5893685723342768;0
26.0;9.0;60.64647833333333;59.714437333333336;348.7;83.53816916829888;-4.891753119169756;105.0;;;1.98854837479509;;0.091064453125;1.061767578125;0.0782470703125;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;7.9;8.4;7.1;8.4;4.203441307199161;4.891753119169756;-1.0906204096056205;7.3;7.3;7.4;7.4;-;7.3;7.4;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;4.891753119169756;up;1;0.01;3.4526307219596384;0
28.0;8.0;60.64646233333333;59.714454333333336;348.4;79.03318088683031;-6.202180045641841;102.0;;;2.008247187021521;;0.137451171875;1.2490234375;0.19921875;Груженный движется вперед;32;75131;130;;;;;760.0;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;7.9;8.5;7.5;7.9;8.951043486034978;6.202180045641841;-1.2287093065017256;7.3;7.3;7.4;7.4;-;7.3;7.4;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;6.202180045641841;up;1;0.01;3.5541786843702154;0
31.0;8.0;60.64644466666667;59.714467166666665;347.9;83.38264523584506;-2.3523144220374457;103.0;;;2.0876426438705495;;0.0443115234375;1.0120849609375;0.0760498046875;Груженный движется вперед;32;75131;130;;;;;760.0869565217391;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;6.6;8.5;7.5;7.1;4.285192302723656;2.3523144220374457;-1.1882811827772466;7.3;7.3;7.4;7.4;-;7.3;7.4;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.3523144220374457;up;1;0.01;3.5196720952015723;0
33.0;8.0;60.646427;59.71448166666666;347.3;81.94047040449863;-5.854972041691694;101.0;;;2.1198841638335835;;0.10595703125;1.033203125;0.0958251953125;Груженный движется вперед;32;75131;130;;;;;760.2028985507246;33.0;760.0;30.0;760.0;46.0;756.0;42.0;712.0;38.0;764.0;41.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];660;;;6.7;8.7;7.4;7.1;5.276266160156154;5.854972041691694;-1.259452944588543;7.3;7.3;7.4;7.4;-;7.3;7.4;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;5.854972041691694;up;1;0.01;3.5893685723342768;0
