len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;5.0;60.646351333333335;59.71421316666667;344.4;84.0877508148179;-3.190772994427984;102.0;;71.6;0.0;;0.0579833984375;1.0360107421875;0.089599609375;Груженный стоит;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route3;[];687;0.0;;10.2;4.4;3.5;10.0;3.813974549019515;5.3302167756342875;-0.5925093176478833;9.86;6.8;7.2;10.44;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;up;5.0;0.0;3.813974549019515;up;0;0.01;0.0;0
1.0;5.0;60.646345833333335;59.71422983333333;344.1;83.53415267842715;-3.49780708650712;101.0;;71.6;1.0963803937624605;;0.065185546875;1.0650634765625;0.0927734375;Груженный движется вперед;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];687;;;9.9;4.0;3.5;10.0;3.339554743722491;4.1257185605735;-0.45215148850078357;9.86;6.8;7.2;10.44;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;up;5.0;0.0;3.339554743722491;up;0;0.01;0.0;1
2.0;5.0;60.6463425;59.714243833333335;343.8;83.59038702458338;-3.760519008228876;101.0;;71.6;0.8493239138562302;;0.077392578125;1.1014404296875;0.0621337890625;Груженный движется вперед;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];687;;;9.9;3.9;3.5;10.5;2.913468496922395;3.557504250456383;-0.7916594984632201;9.86;6.8;7.2;10.44;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.913468496922395;up;0;0.01;0.0;1
6.0;6.0;60.64631966666666;59.71428983333333;342.8;83.56879876311541;-3.076397995936923;107.0;;71.6;3.5724028067780043;;0.0550537109375;1.0291748046875;0.0958251953125;Груженный движется вперед;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];687;;;9.1;7.9;5.0;10.9;2.535853086578409;3.439047307477985;-0.7858912414028985;9.86;6.8;7.2;10.44;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.535853086578409;up;0;0.01;0.0;1
8.0;7.0;60.6463065;59.71431666666667;342.6;86.74176272160256;-2.183717066738769;103.5;;71.6;2.071835543060049;;0.0367431640625;0.96337890625;-0.0382080078125;Груженный движется вперед;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];687;;;7.5;7.9;8.5;5.1;2.205668997561482;3.6162469841136637;-0.6288134744906988;6.8;6.8;7.2;7.2;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.205668997561482;up;0;0.01;0.0;1
9.0;7.0;60.64629966666666;59.71433583333334;342.1;81.20509671893501;-1.4939490998717877;103.0;;71.6;1.2932923205701927;;0.0281982421875;1.0518798828125;0.1529541015625;Груженный движется вперед;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];687;;;6.5;7.2;9.5;5.1;1.9208568747255246;3.9647873237103255;-0.6980884220143739;6.8;6.8;10.44;7.2;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;1.9208568747255246;up;0;0.01;0.0;1
10.0;7.0;60.64629116666666;59.7143565;341.5;84.5502638948465;-0.3170753404366865;106.0;;71.6;1.4721508468107432;;0.00537109375;0.9710693359375;0.07080078125;Груженный движется вперед;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];687;;;6.5;8.1;9.5;5.6;1.678494475978591;4.387496161077653;-0.7358164714989623;6.8;6.8;10.44;7.2;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;1.678494475978591;up;0;0.01;0.0;1
13.0;7.0;60.64627733333333;59.71438766666667;341.5;82.48479382967997;-3.071920316366697;105.0;;71.6;2.2943418294579634;;0.058837890625;1.0885009765625;0.130859375;Груженный движется вперед;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];687;;;6.6;8.1;7.9;5.6;1.4749536253540678;4.81170412307934;-0.7006816447074504;6.8;6.8;7.2;7.2;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;up;1;0.01;0.0;1
15.0;8.0;60.646263;59.71442233333333;341.8;85.0629186209948;-1.368857312236071;103.0;;71.6;2.4748094400726344;;0.023681640625;0.972412109375;0.080810546875;Груженный движется вперед;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];687;;;6.6;7.9;8.0;5.2;1.306057166081862;5.186603629224329;-0.7225559008912041;6.8;6.8;7.2;7.2;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;1
18.0;8.0;60.646248666666665;59.7144555;341.8;83.97244341472845;0.1498541029910236;105.0;;71.6;2.41281739024949;;-0.0025634765625;1.05126953125;0.11083984375;Груженный движется вперед;32;75131;130;;;;;760.0;24.0;752.0;20.0;764.0;34.0;764.0;30.0;720.0;29.0;752.0;32.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];687;;;7.4;7.6;8.5;5.4;1.1672359136595856;5.4806078922580355;-0.5995652138030647;6.8;6.8;7.2;7.2;point_60%;6.8;7.2;1;0.0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;1
