len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Продольный наклон;Поперечный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;6.0;60.64524583333333;59.71565733333333;336.0;81.301512099703;-4.600166760487067;102.0;;90.8;0.0;;0.0831298828125;1.023193359375;0.12158203125;Груженный стоит;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;0.0;;8.7;5.7;6.6;9.2;5.076324734447784;6.928866782691176;-1.0052516988844187;7.2;7.2;7.2;7.2;-;7.2;7.2;0;0.0;0;0;-;0.0;0;0;0;0.0;6;0.0;0;0;0.01;0.0;1
2.0;8.0;60.64523;59.71567783333333;336.3;82.67667472244753;-4.7489879010666;102.0;;91.2;2.0876404152254424;;0.0831298828125;1.00146484375;0.072998046875;Груженный стоит;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;;;8.5;6.1;6.6;8.4;2.8194774521149064;5.237022540986526;-1.250715165907153;7.2;7.2;7.2;7.2;-;7.2;7.2;0;0.0;0;0;-;0.0;0;0;0;0.0;0;0.0;0;0;0.01;0.0;1
4.0;8.0;60.6452125;59.71568966666667;336.4;83.21109806868208;0.9281936728891996;102.0;;90.8;2.052363812559381;;-0.0150146484375;1.009033203125;0.113037109375;Груженный движется вперед;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;;;8.7;7.1;6.4;8.7;1.6907914808017774;4.62238794680437;-1.238148672746532;7.2;7.2;7.2;7.2;-;7.2;7.2;0;0.0;0;0;-;0.0;0;0;0;0.0;0;0.0;0;0;0.01;0.0;1
6.0;8.0;60.645195;59.715702;336.1;83.15898164093767;-2.1414091754048767;102.0;;90.8;2.0611119543593;;0.0416259765625;1.0849609375;0.1182861328125;Груженный движется вперед;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;;;8.8;7.5;6.5;8.7;1.3330860846811041;4.727161663026543;-1.3138105839576153;7.2;7.2;7.2;7.2;-;7.2;7.2;0;0.0;0;0;-;0.0;0;0;0;0.0;0;0.0;0;0;0.01;0.0;1
8.0;8.0;60.64517883333333;59.715710666666666;335.8;85.3783551940202;-1.7032463957715185;102.0;;90.8;1.860803408994687;;0.030029296875;0.981689453125;0.0731201171875;Груженный движется вперед;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;;;8.8;8.0;6.5;8.5;1.459277805067602;5.260550446678241;-1.2632169243466067;7.2;7.2;7.2;7.2;-;7.2;7.2;0;0.0;0;0;-;0.0;0;0;up;0.0;0;1.459277805067602;0;1;0.01;0.0;1
10.0;9.0;60.645158;59.71572416666667;336.0;83.33873585778497;-1.4348819999777067;102.0;;90.8;2.4333964878752643;;0.024658203125;1.0052490234375;0.11083984375;Груженный движется вперед;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;;;7.6;9.9;8.4;7.3;1.8458074041731303;5.992976128686415;-1.2693975922132696;7.2;10.44;7.2;7.2;point_60%;7.2;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;0;1.8458074041731303;up;1;0.01;0.0;1
13.0;10.0;60.6451375;59.71573716666666;336.1;81.00304357848091;-3.980363104003514;102.0;;90.8;2.3898157695590414;;0.0692138671875;1.0533447265625;0.1441650390625;Груженный движется вперед;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;;;8.9;9.9;10.2;7.3;2.3260668088618006;6.750282593638167;-1.5494857441353642;7.2;10.44;10.44;7.2;point_60%;7.2;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;10;2.3260668088618006;up;1;0.01;0.0;1
15.0;10.0;60.6451145;59.71573816666667;336.2;85.43994833541302;-3.992819156273126;102.0;;90.8;2.5609731410320746;;0.063720703125;1.0753173828125;0.0045166015625;Груженный движется вперед;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;;;8.9;12.2;10.2;6.9;2.783826054405118;7.407942759539137;-1.527470844982012;7.2;12.6;10.44;7.2;point_60%;7.2;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;0;2.783826054405118;up;1;0.01;0.0;1
18.0;11.0;60.64509;59.715740333333336;335.8;80.38476474442922;-1.261612468117444;102.0;;90.8;2.7299354799329993;;0.0147705078125;1.029296875;0.148681640625;Груженный движется вперед;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;;;9.9;12.2;8.5;6.9;3.1466602282370886;7.885265557571901;-1.7660131614086625;10.44;12.6;10.44;7.2;point_60%;7.2;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;0;3.1466602282370886;up;1;0.01;0.0;1
20.0;11.0;60.64507016666667;59.715732333333335;335.2;76.0456892787925;-1.192688158859918;102.0;;90.8;2.2506230907522307;;0.0223388671875;1.0203857421875;0.2425537109375;Груженный движется вперед;32;75131;130;;;;;748.0;18.0;744.0;15.0;748.0;28.0;744.0;22.0;704.0;23.0;740.0;25.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];654;;;9.9;8.3;9.4;4.3;3.37937641370936;8.139602911854379;-1.800299928103673;10.44;7.2;10.44;7.2;point_60%;7.2;7.2;1;0.0;0;0;-;0.0;0;0;up;0.0;0;3.37937641370936;up;1;2.4979242280878124;1.668310263299603;1
