len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
2.0;0.0;60.64676816666667;59.713777;343.7;80.28150080443444;-4.707482240732489;101.0;;64.0;0.5015893583066023;;0.086669921875;1.0391845703125;0.1556396484375;Груженный стоит;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2'];753;;;8.1;6.6;6.8;7.1;8.425329169716319;4.707482240732489;-0.1417020938409308;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;0;0;up;0.0;0.0;4.707482240732489;up;0;0.01;0.0;0
3.0;0.1;60.6467665;59.71380083333333;343.3;83.97918745317565;-3.796030968965758;102.0;;64.4;1.3137262296101768;;0.0672607421875;1.0318603515625;0.0826416015625;Груженный стоит;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2'];753;;;8.1;6.7;6.6;8.4;4.5644861174021;3.796030968965758;-0.46760295623567627;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;0;0;up;0.0;0.0;3.796030968965758;up;0;0.01;0.0;0
4.0;2.0;60.646762333333335;59.71381766666666;342.9;83.88362823225776;-1.944490982370608;102.0;;64.8;1.0290430412974525;;0.03271484375;1.0311279296875;0.0941162109375;Груженный стоит;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];753;;;9.3;7.0;6.7;8.4;5.193750711661758;1.944490982370608;-0.43631684103292434;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;0;0;up;0.0;0.0;1.944490982370608;up;0;0.01;0.0;0
5.0;5.0;60.646757;59.713841;342.7;80.97597176580126;-0.1232937203986499;102.0;;64.8;1.4048930953521;;0.00244140625;1.0006103515625;0.157470703125;Груженный стоит;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];753;;;9.3;7.2;6.7;8.1;8.836540846787603;0.1232937203986499;-0.4157590432827998;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;0;0;flat;0.0;5.0;1.6;up;1;0.01;0.0;0
7.0;5.0;60.646752166666666;59.713863333333336;342.8;85.21428452560617;-2.6866150296218976;99.0;;64.4;1.3321957327704077;;0.04833984375;1.03759765625;0.0693359375;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];753;;;8.8;6.4;5.0;8.6;3.8145405381584245;2.6866150296218976;-0.35055954651457366;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;0
8.0;5.0;60.646749;59.713881;342.5;82.53388673779668;-3.5042869017075216;99.0;;64.4;1.0264809675694246;;0.063720703125;1.0321044921875;0.116943359375;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];753;;;8.0;7.6;6.2;8.6;6.423615477726252;3.5042869017075216;-0.2931426311552554;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;0;0;flat;0.0;5.0;1.6;flat;1;0.01;0.0;0
10.0;6.0;60.64674416666666;59.71391366666667;342.5;84.12260122965472;-1.508966006701944;102.0;;64.4;1.8620180986033712;;0.0284423828125;1.0721435546875;0.10595703125;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];753;;;8.6;9.4;6.7;8.2;5.616872175911909;1.508966006701944;-0.42562471396737234;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;0
11.0;6.0;60.64673783333333;59.71394216666667;342.5;84.5508079017527;-1.1839753045537256;102.0;;64.4;1.7075620984532371;;0.0208740234375;1.00927734375;0.0921630859375;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];753;;;8.6;9.4;8.9;7.5;5.196046583437211;1.1839753045537256;-0.35693298359234005;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;flat;1;0.01;2.603441595156306;0
13.0;5.0;60.646732166666666;59.71397316666667;342.2;82.75045069348215;-2.554445405033773;103.0;;64.4;1.805428768977081;;0.046630859375;1.0341796875;0.12353515625;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];753;;;8.2;9.5;8.9;6.2;6.764199270946794;2.554445405033773;-0.40011535601049997;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;0;0;up;0.0;0.0;2.554445405033773;flat;2;0.01;-1.4980773320105758;0
15.0;5.0;60.6467265;59.7140005;341.6;85.04588960697049;-3.669734963753244;102.0;;64.4;1.6194634089269915;;0.065673828125;1.021484375;0.033203125;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;24.0;760.0;39.0;756.0;35.0;708.0;35.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];753;;;7.2;9.5;7.7;6.2;1.8607491754998169;3.669734963753244;-0.41563607142176817;7.8;7.8;7.2;7.2;-;7.8;7.2;0;0;0;0;-;0.0;1;0;up;0.0;0.0;3.669734963753244;up;2;0.01;-1.512764364677346;0
