len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;4.0;60.646520333333335;59.7141555;340.3;83.9224933480502;-3.932724099356225;98.0;;72.4;0.0;;0.07373046875;1.048583984375;0.0865478515625;Груженный стоит;32;75131;130;;;;;756.0;27.0;752.0;24.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;0.0;;8.4;10.2;6.9;8.6;3.1772326162539737;5.028800182841411;-0.5491959464925267;7.5;10.875;7.3;7.3;point_30%;7.5;7.3;1;0.0;0;0;-;0.0;0;0;0;0.0;0.0;0.0;0;0;0.01;0.0;0
2.0;7.0;60.64651233333333;59.71418216666667;340.2;85.11122370845668;-3.596677975223981;98.0;;72.0;1.7060689796851078;;0.06103515625;0.988525390625;0.0286865234375;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;756.0;25.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;;;8.1;10.2;7.6;8.6;3.565992270684303;2.5354336021810413;-0.5536807574840052;7.5;10.875;7.3;7.3;point_30%;7.5;7.3;1;0.0;0;0;-;0.0;0;0;0;0.0;0.0;0.0;0;0;0.01;0.0;0
4.0;8.0;60.64650233333333;59.71421516666667;339.8;84.26210780132257;-3.269242548292577;97.0;;72.0;2.117093077322422;;0.06005859375;1.0435791015625;0.0863037109375;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;756.0;25.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;;;8.1;9.0;7.6;6.9;3.508731557611349;1.4980033734060991;-0.7249075737138115;7.5;7.5;7.3;7.3;-;7.5;7.3;0;0.0;0;0;-;0.0;0;0;0;0.0;0.0;0.0;0;0;0.01;0.0;0
6.0;8.0;60.64649133333333;59.7142405;339.5;86.0401363741712;0.3074871959956667;96.0;;72.0;1.8467760211747615;;-0.006591796875;1.004638671875;-0.02490234375;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;756.0;25.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;;;6.4;9.0;6.8;6.9;3.211299676428836;1.4350312425622502;-0.6061493280993613;7.5;7.5;7.3;7.3;-;7.5;7.3;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;1.4350312425622502;0;1;0.01;0.0;0
8.0;8.0;60.64647966666666;59.71427483333333;339.5;84.11587404084085;-2.5939955007820874;95.0;;72.0;2.279678567363775;;0.045654296875;1.0067138671875;0.0855712890625;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;756.0;25.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;;;6.9;8.9;6.8;6.6;2.8320036093232877;1.9556785451311578;-0.6730555238231388;7.5;7.5;7.3;7.3;-;7.5;7.3;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;1.9556785451311578;up;1;0.01;0.0;0
10.0;8.0;60.64646833333333;59.71430383333333;340.0;84.65679491093488;-2.9336086652456057;96.0;;72.0;2.023879196594767;;0.055908203125;1.0723876953125;0.0850830078125;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;756.0;25.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;;;6.9;9.3;8.6;6.6;2.486379726761557;2.751934977720887;-0.7454460349969425;7.5;7.5;7.3;7.3;-;7.5;7.3;0;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.751934977720887;up;1;0.01;0.0;0
12.0;9.0;60.64645483333334;59.71433366666667;339.9;87.19734253011094;-1.8860006659170665;99.0;;72.0;2.215596416761223;;0.03369140625;1.025634765625;0.0189208984375;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;756.0;25.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;;;7.3;9.3;8.6;8.0;2.251965392978356;3.590807369756307;-0.7253282749710261;7.5;7.5;7.3;7.3;-;7.5;7.3;0;0.0;0;0;-;0.0;1;0;up;9.0;0.0;3.590807369756307;up;1;0.01;0.0;0
15.0;9.0;60.64643933333333;59.71436933333333;340.0;81.52699830257967;-4.12018951758394;101.0;;72.0;2.6010399497640204;;0.078369140625;1.0792236328125;0.1395263671875;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;756.0;25.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;;;7.7;7.6;6.5;8.4;2.1730705714637844;4.306508455169512;-0.7159893521592129;7.5;7.5;7.3;7.3;-;7.5;7.3;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.306508455169512;up;1;0.01;0.0;0
17.0;9.0;60.64642483333333;59.71440333333334;339.6;83.40711774388714;-5.3587438823253;101.0;;72.0;2.459243808959689;;0.0941162109375;1.0003662109375;0.02978515625;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;756.0;25.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;;;7.7;8.4;6.6;7.3;2.2655494304508665;4.792645644090213;-0.7275721972523406;7.5;7.5;7.3;7.3;-;7.5;7.3;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.792645644090213;up;1;0.01;0.0;0
20.0;9.0;60.6464105;59.714436166666665;339.3;84.75781409330094;-4.010461805158889;96.0;;72.0;2.3991962413006083;;0.065185546875;1.0174560546875;0.0008544921875;Груженный движется вперед;32;75131;130;;;;;756.0;27.0;756.0;25.0;756.0;37.0;752.0;34.0;708.0;33.0;760.0;34.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];621;;;6.5;8.4;7.4;7.3;2.5215719484030794;4.994409794536173;-0.6952079962893127;7.5;7.5;7.3;7.3;-;7.5;7.3;0;0.0;0;0;-;0.0;0;0;up;0.0;0.0;4.994409794536173;up;1;0.01;0.0;0
