len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;7.0;60.646687;59.714104166666665;342.5;82.49444963930023;-2.3726552147306785;101.0;;90.0;0.0;;0.042236328125;1.059326171875;-0.0313720703125;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;0.0;;9.1;9.1;5.5;8.1;-1.6955825403889373;2.3726552147306785;-1.3879634475436853;7.7;7.7;7.2;7.2;-;7.7;7.2;0;0;0;0;-;0.0;0;0;0;0.0;7.5;0.0;0;0;0.01;0.0;0
2.0;7.0;60.646668;59.714111333333335;342.9;82.21521275594344;-2.241764824166164;101.0;;90.0;2.150957029821367;;0.036376953125;0.9742431640625;0.084228515625;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;;;6.5;7.8;7.8;8.1;4.922965504311004;2.241764824166164;-1.26339992469652;7.7;7.7;7.2;7.2;-;7.7;7.2;0;0;0;0;-;0.0;0;0;flat;0.0;0.0;1.6;0;1;0.01;0.0;0
4.0;8.0;60.6466505;59.71412266666667;342.7;87.6071488473533;-1.5260930447206558;103.0;;90.0;2.0439342768676725;;0.02783203125;1.04052734375;0.0330810546875;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;;;6.4;11.0;7.8;7.6;1.820048644081362;1.5260930447206558;-1.2610531193592869;7.7;11.165;7.2;7.2;point_60%;7.7;7.2;1;0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;0
7.0;8.0;60.64663033333333;59.71413583333333;342.6;82.4335424758917;-0.6908921650917095;107.0;;90.0;2.3571535221902917;;0.0020751953125;1.050048828125;0.114501953125;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;;;8.9;11.0;7.2;7.6;6.186809008983147;0.6908921650917095;-1.1512461191056143;7.7;11.165;7.2;7.2;point_60%;7.7;7.2;1;0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;0
9.0;8.0;60.64661183333333;59.71415266666666;342.3;82.1302265985461;-3.002287718512071;108.0;;90.0;2.2550179544631597;;0.051025390625;1.0010986328125;0.1285400390625;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;;;8.9;10.5;7.2;9.0;7.257747246863249;3.002287718512071;-1.1754881925086162;7.7;11.165;7.2;7.2;point_60%;7.7;7.2;1;0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;0
11.0;8.0;60.646591666666666;59.71416983333334;342.1;87.39146987577891;-0.9562876684473902;103.0;;90.0;2.4325870609925913;;0.022216796875;1.1090087890625;0.045654296875;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;;;9.6;9.2;9.4;9.0;2.3553577243975945;0.9562876684473902;-1.0951254826636392;7.7;7.7;10.44;7.2;point_60%;7.7;7.2;1;0;0;0;-;0.0;1;0;flat;0.0;8.25;1.6;flat;1;0.01;0.0;0
14.0;9.0;60.646572;59.7141905;342.1;80.44764828866651;-4.454976933714613;100.0;;90.0;2.4627169663589994;;0.0760498046875;0.960205078125;0.072021484375;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;;;9.6;9.5;9.4;8.0;4.27754451913827;4.454976933714613;-1.2040640001342084;7.7;7.7;10.44;7.2;point_60%;7.7;7.2;1;0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;0
16.0;9.0;60.646549666666665;59.714208;342.0;80.20676071359176;2.101257912877922;104.0;;90.0;2.6632743362606575;;-0.0335693359375;0.963134765625;0.078369140625;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;;;7.5;9.5;7.8;8.0;4.636584987900386;-2.101257912877922;-0.8679377793689693;7.7;7.7;7.2;7.2;point_60%;7.7;7.2;1;0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;1;0.01;0.0;0
19.0;9.0;60.646534333333335;59.7142345;342.1;80.17620633438044;-2.2115307712835564;100.0;;90.0;2.2371336525688954;;0.0399169921875;1.00927734375;0.085693359375;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;;;8.1;9.0;7.8;6.1;4.835780141844048;2.2115307712835564;-1.0756268061915795;7.7;7.7;7.2;7.2;point_60%;7.7;7.2;1;0;0;0;-;0.0;1;0;up;0.0;0.0;2.2115307712835564;flat;2;0.01;0.0;0
21.0;10.0;60.64651466666667;59.714256166666665;342.4;78.93477520241157;-6.924021857554662;99.0;;90.0;2.488180056384742;;0.1248779296875;1.0159912109375;0.082275390625;Груженный движется вперед;32;75131;130;;;;;740.0;29.0;752.0;25.0;748.0;37.5;744.0;34.0;700.0;33.0;752.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];658;;;8.1;9.4;5.2;10.8;4.614692460892487;6.924021857554662;-0.8977388384807066;7.7;7.7;7.2;10.44;point_60%;7.7;7.2;1;0;0;0;-;0.0;1;0;up;0.0;0.0;6.924021857554662;up;2;0.01;0.0;0
