len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
1.0;0.0;60.64655616666667;59.714359916666666;348.20000000000005;85.35150041446431;-2.815831249988638;18.0;;89.2;0.5124555312824968;;0.05120849609375;1.02783203125;0.05902099609375;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.0;760.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];949;;;5.4;5.5;2.6;4.2;3.611600784487544;2.491960273449666;-0.392210018989974;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.491960273449666;up;0;0.01;0.0;1
2.0;0.0;60.6465525;59.714378;348.9;85.32861384714529;-2.1486069003943618;30.0;;89.2;0.5015467974612196;;0.0384521484375;1.023193359375;0.07080078125;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.0;760.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];949;;;5.4;5.4;2.6;3.9;3.796879044371206;2.39854472229804;-0.256507924112378;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.39854472229804;up;0;0.01;0.0;1
5.0;0.0;60.64654616666667;59.71441658333333;353.35;85.58857383975405;-2.5493102212798733;32.0;;89.2;0.7071517291295314;;0.04583740234375;1.02728271484375;0.06439208984375;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.0;760.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];949;;;5.3;5.3;2.5;3.7;3.91950939562043;2.339735911480678;-2.220542263628743;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.339735911480678;up;0;0.01;0.0;1
6.0;0.0;60.6465445;59.714414;354.4;85.3676653165731;-2.441627735104221;32.0;;89.2;0.5005623415742839;;0.044189453125;1.0302734375;0.072265625;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.0;760.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];949;;;5.3;5.3;2.5;3.7;3.8927320417066786;2.3547876753998755;3.1023817750838196;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.3547876753998755;up;0;0.01;0.0;1
7.0;0.0;60.646545;59.714388;355.0;85.86310555267235;-2.1275844030763533;32.0;;88.8;0.519734476261282;;0.0382080078125;1.0343017578125;0.068115234375;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.0;760.0;35.0;/home/pi/adviser/route4;[];949;;;5.3;5.3;2.5;3.7;3.858305070534811;2.3732005060138306;-3.0721590729510844;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.3732005060138306;up;0;0.01;0.0;0
10.0;0.0;60.64654466666666;59.714339333333335;353.7;85.11908297472337;-2.7019844723384105;32.0;;88.8;0.7104901997732305;;0.0484619140625;1.025146484375;0.072509765625;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.0;760.0;35.0;/home/pi/adviser/route4;[];949;;;5.3;5.3;2.5;3.7;3.7867484884529183;2.4029809018760453;-0.5668121411098297;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.4029809018760453;up;0;0.01;0.0;0
11.0;0.0;60.646541416666665;59.71434975;353.04999999999995;85.30573672264325;-2.388944397210829;32.0;;88.8;0.5966207164325341;;0.04290771484375;1.02557373046875;0.0716552734375;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.03012048192771;760.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];949;;;5.3;5.3;2.5;3.7;3.784016181324476;2.397074760364556;-1.7853091580919433;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.397074760364556;up;0;0.01;0.0;1
13.0;0.0;60.64653625;59.714330583333336;350.5;85.20600162442564;-2.2906482382090925;32.0;;88.8;0.7675662400501435;;0.04107666015625;1.0220947265625;0.07427978515625;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.15060240963856;760.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];949;;;5.3;5.3;2.5;3.7;3.8054811988188795;2.361657456635223;-1.57751124045773;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.361657456635223;up;0;0.01;0.0;1
17.0;0.0;60.64653483333333;59.71431633333333;345.9;85.18104803308826;-2.5895050012329537;32.0;;88.4;1.219799260693902;;0.04656982421875;1.02734375;0.07257080078125;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.415662650602414;760.0;35.0;/home/pi/adviser/route4;[];949;;;5.3;5.3;2.5;3.7;3.83239190044171;2.2551284946651133;-2.973202550483294;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.2551284946651133;up;0;0.01;0.0;0
19.0;0.0;60.64653333333333;59.71430166666666;343.8;85.83493015169273;-2.138506546157173;32.0;;88.0;0.5895118930439069;;0.03857421875;1.0313720703125;0.0650634765625;Груженный стоит;32;75131;130;;;;;752.0;27.0;752.0;24.0;752.0;37.0;748.0;33.0;708.0;32.51204819277109;760.0;35.0;/home/pi/adviser/route1;['/home/pi/adviser/route1'];949;;;5.3;5.3;2.5;3.7;3.8379604884024587;2.284525730394258;-0.5852798732687479;7.8;7.8;8.0;8.0;-;7.8;8.0;0;0;0;0;-;0.0;0;0;up;0.0;0;2.284525730394258;up;0;0.01;0.0;1
