len;Скорость;Широта;Долгота;Высота;X Rotation;Y Rotation;Вес мгновенный;Уровень топлива, литры;Уровень топлива, проценты;путь;ДВС.Расход топлива;Ускорение по оси X;Ускорение по оси Y;Ускорение по оси Z;Статус самосвала;Самосвал;Модель самосвала;Грузоподъемность;Обороты двигателя;Расчетный выходной крутящий момент двигателя (в процентах от эталонного);Текущая нагрузка двигателя;Педаль процент нажатия;Давление в левой передней шине;Температура в левой передней шине;Давление в правой передней шине;Температура в правой передней шине;Давление в левой задней внешней шине;Температура в левой задней внешней шине;Давление в левой задней внутренней шине;Температура в левой задней внутренней шине;Давление в правой задней внутренней шине;Температура в правой задней внутренней шине;Давление в правой задней внешней шине;Температура в правой задней внешней шине;folder;border_lists;время рейса;Расход топлива_средний;Расход топлива;Давление левый передний цилиндр;Давление правый передний цилиндр;Давление левый задний цилиндр;Давление правый задний цилиндр;Поперечный наклон;Продольный наклон;azimut;Давление левый передний цилиндр_;Давление правый передний цилиндр_;Давление левый задний цилиндр_;Давление правый задний цилиндр_;point;уровень давления впереди,МПа;уровень давления сзади,МПа;nom_hole;рекомендованная скорость_turns;Поворот влево;Поворот вправо;centr;radius;подъем;спуск;incline;рекомендованная скорость_min;рекомендованная скорость_max;new_slope;incline_;indicator_slope;mean_slope;shtraf;isin_border
0.0;5.0;60.646852;59.7139545;344.6;79.83072677212292;-4.050951107426474;109.0;;72.0;0.0;;0.0718994140625;1.0123291015625;0.1649169921875;Груженный стоит;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2'];782;0.0;;6.9;7.8;6.2;10.6;9.13434090611227;4.050951107426474;-0.5889050648884901;7.4;7.4;7.0;10.15;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;0;0;flat;0.0;5.0;1.6;flat;0;0.01;0.0;0
1.0;6.0;60.64684583333333;59.713973333333335;343.3;85.2188183065044;-0.7996010724398102;108.0;;72.0;1.2358999067661858;;0.0155029296875;1.0936279296875;0.0916748046875;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2'];782;;;6.4;8.6;7.2;7.5;4.77502231882039;0.7996010724398102;-0.5129175347019403;7.4;7.4;7.0;7.0;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
3.0;7.0;60.646838333333335;59.7140005;342.8;85.10510051809987;-4.01211971909161;107.0;;71.6;1.7013930176063985;;0.0692138671875;0.9766845703125;0.04248046875;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];782;;;6.2;8.6;7.2;7.4;2.4881357860417266;4.01211971909161;-0.7444584489384516;7.4;7.4;7.0;7.0;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
5.0;8.0;60.64682666666667;59.71402633333334;342.2;75.73839294926803;-1.8731559150617008;106.0;;71.6;1.9167645574912284;;0.03564453125;1.05712890625;0.264892578125;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];782;;;6.6;8.3;5.6;8.5;13.66154007211546;1.8731559150617008;-0.7084328706342817;7.4;7.4;7.0;7.0;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;1;0;flat;0.0;8.0;1.6;flat;0;0.01;0.0;0
7.0;8.0;60.64681616666667;59.71405133333333;341.8;82.37840922632515;-2.9513691676764706;111.0;;71.6;1.7964866375303545;;0.0533447265625;1.026611328125;0.12646484375;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];782;;;8.3;7.9;5.6;9.5;6.970531137523114;2.9513691676764706;-0.8458901244529669;7.4;7.4;7.0;10.15;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
9.0;8.0;60.646797166666666;59.71408566666667;341.4;83.9898755581932;-1.4288987722840116;113.0;;71.6;2.825559841833941;;0.0262451171875;1.0487060546875;0.1068115234375;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];782;;;8.3;10.4;7.4;9.5;5.785837551659535;1.4288987722840116;-0.6671347294410572;7.4;10.73;7.0;10.15;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;1;0;flat;0.0;0.0;1.6;flat;0;0.01;0.0;0
11.0;8.0;60.646787;59.714112;342.0;83.77692666467831;-4.093193300757233;111.0;;71.6;1.8291551520576255;;0.07275390625;1.010009765625;-0.0828857421875;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];782;;;6.9;9.3;7.4;6.6;-4.6757770538680035;4.093193300757233;-1.052558836897175;7.4;7.4;7.0;7.0;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;8.5;4.093193300757233;flat;1;0.01;0.0;0
13.0;9.0;60.64677066666667;59.714131;341.2;85.20640622035206;-2.9094200160458654;111.0;;71.6;2.0930843894833546;;0.05615234375;1.0968017578125;0.06982421875;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];782;;;7.5;9.2;7.2;8.6;3.635289368830542;2.9094200160458654;-0.8478203766231482;7.4;7.4;7.0;7.0;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;0;0;up;0.0;0.0;2.9094200160458654;up;1;0.01;0.0;0
16.0;9.0;60.6467565;59.7141565;340.0;83.5381980477786;-3.3170850475894547;110.0;;71.6;2.103185117136933;;0.0596923828125;1.0159912109375;0.0677490234375;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];782;;;7.5;9.3;6.4;6.8;3.80655987818873;3.3170850475894547;-0.8433382610676596;7.4;7.4;7.0;7.0;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;3.3170850475894547;up;1;0.01;0.0;0
17.0;9.0;60.646748333333335;59.71417133333333;339.4;78.29695452220818;-2.86993068216497;106.0;;71.6;1.2172506174698074;;0.0499267578125;0.982666015625;0.189453125;Груженный движется вперед;32;75131;130;;;;;748.0;28.0;752.0;25.0;760.0;42.0;752.0;37.0;704.0;33.0;760.0;37.0;/home/pi/adviser/route2;['/home/pi/adviser/route2', '/home/pi/adviser/route1'];782;;;6.3;9.3;8.9;6.3;10.719741105488781;2.86993068216497;-0.13278613371537196;7.4;7.4;7.0;7.0;point_30%;7.4;7.0;1;0.0;0;0;-;0.0;1;0;up;0.0;0.0;2.86993068216497;up;1;0.01;0.0;0
